speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_1,cluster_8,cluster_4,cluster_0,cluster_5,cluster_10,cluster_2,cluster_12,cluster_7,cluster_3,cluster_11,cluster_13,cluster_9,cluster_14,cluster_6,cluster_1_p,cluster_8_p,cluster_4_p,cluster_0_p,cluster_5_p,cluster_10_p,cluster_2_p,cluster_12_p,cluster_7_p,cluster_3_p,cluster_11_p,cluster_13_p,cluster_9_p,cluster_14_p,cluster_6_p,n
4700,430034400,BRIGHT,JOHN,H,TN,M,D,4.0,voting,18740328,1817-01-20,1817,1874,57,43047000,0.0,4,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4377,430090854,TREMAIN,LYMAN,H,NY,M,R,-1.0,voting,18750126,1819-06-14,1819,1875,56,43043770,0.0,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430094642,THURMAN,ALLEN,S,OH,M,D,,voting,18750202,1813-11-13,1813,1875,62,43045201,0.0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0.6,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4520,430094646,THURMAN,ALLEN,S,OH,M,D,,voting,18750202,1813-11-13,1813,1875,62,43045201,0.0,4,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0.4,0.0,0.1,0.0,0.1,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,440005638,STEVENSON,JOHN,S,KY,M,D,,voting,18760121,1812-05-04,1812,1876,64,44041901,0.0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5027,440006567,LAMAR,LUCIUS,H,MS,M,D,1.0,voting,18760125,1825-09-17,1825,1876,51,44050270,0.0,2,1,1,4,3,0,8,0,1,0,0,0,0,0,0,0.1,0.05,0.05,0.2,0.15,0.0,0.4,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,20
4302,440010278,MCCREERY,THOMAS,S,KY,M,D,,voting,18760209,1816-12-12,1816,1876,60,44043021,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4281,440011953,HOWE,TIMOTHY,S,WI,M,R,,voting,18760216,1816-02-24,1816,1876,60,44042811,0.0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,440013236,SARGENT,AARON,S,CA,M,R,,voting,18760221,1827-09-28,1827,1876,49,44043421,0.0,0,1,0,6,0,1,1,0,0,0,1,0,0,0,0,0.0,0.1,0.0,0.6,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4800,440028157,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18760406,1831-11-19,1831,1876,45,44048000,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4858,440039388,HOUSE,JOHN,H,TN,M,D,6.0,voting,18760518,1827-01-09,1827,1876,49,44048580,0.0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4527,440039574,WALLACE,JOHN,H,PA,M,R,24.0,voting,18760519,1818-12-20,1818,1876,58,44045270,0.0,0,2,0,4,1,1,1,0,0,1,0,0,0,0,0,0.0,0.2,0.0,0.4,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
6125,440046898,MORRILL,JUSTIN,S,VT,M,R,,voting,18760610,1810-04-14,1810,1876,66,44061251,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
