speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_4,cluster_3,cluster_6,cluster_2,cluster_7,cluster_11,cluster_5,cluster_1,cluster_0,cluster_10,cluster_13,cluster_9,cluster_12,cluster_15,cluster_14,cluster_16,cluster_8,cluster_17,cluster_4_p,cluster_3_p,cluster_6_p,cluster_2_p,cluster_7_p,cluster_11_p,cluster_5_p,cluster_1_p,cluster_0_p,cluster_10_p,cluster_13_p,cluster_9_p,cluster_12_p,cluster_15_p,cluster_14_p,cluster_16_p,cluster_8_p,cluster_17_p,n
5157,510011350,HAMPTON,WADE,S,SC,M,D,,voting,18900130,1818-03-28,1818,1890,72,0.0,1,1,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,530179729,HOAR,GEORGE,S,MA,M,R,,voting,18941220,1826-08-29,1826,1894,68,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8173,650136593,LONGWORTH,NICHOLAS,H,OH,M,R,1.0,voting,19171218,1869-11-05,1869,1917,48,0.0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7917,660060056,VAILE,WILLIAM,H,CO,M,R,1.0,voting,19190819,1876-06-22,1876,1919,43,0.0024109215022997,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8132,660089489,HADLEY,LINDLEY,H,WA,M,R,2.0,voting,19190930,1861-06-19,1861,1919,58,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8132,660089493,HADLEY,LINDLEY,H,WA,M,R,2.0,voting,19190930,1861-06-19,1861,1919,58,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7465,660234576,MCCORMICK,JOSEPH,S,IL,M,R,,voting,19200429,1877-05-16,1877,1920,43,0.0,1,1,1,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7307,670247734,FRELINGHUYSEN,JOSEPH,S,NJ,M,R,,voting,19220523,1869-03-12,1869,1922,53,0.0,7,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
7624,670248774,NICHOLSON,SAMUEL,S,CO,M,R,,voting,19220524,1859-02-22,1859,1922,63,3.369050676371783e-07,6,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.6,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7624,670248794,NICHOLSON,SAMUEL,S,CO,M,R,,voting,19220524,1859-02-22,1859,1922,63,0.0,25,5,9,2,0,10,1,7,1,0,0,0,0,0,0,0,0,0,0.4166666666666667,0.08333333333333333,0.15,0.03333333333333333,0.0,0.16666666666666666,0.016666666666666666,0.11666666666666667,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60
