speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_1,cluster_0,cluster_2,cluster_3,cluster_4,cluster_5,cluster_9,cluster_6,cluster_10,cluster_13,cluster_11,cluster_8,cluster_16,cluster_14,cluster_17,cluster_12,cluster_15,cluster_18,cluster_7,cluster_1_p,cluster_0_p,cluster_2_p,cluster_3_p,cluster_4_p,cluster_5_p,cluster_9_p,cluster_6_p,cluster_10_p,cluster_13_p,cluster_11_p,cluster_8_p,cluster_16_p,cluster_14_p,cluster_17_p,cluster_12_p,cluster_15_p,cluster_18_p,cluster_7_p,n
5052,430028099,POLAND,LUKE,H,VT,M,R,2.0,voting,18740305,1815-11-01,1815,1874,59,43050520,0.0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4349,430065384,SHANKS,JOHN,H,IN,M,R,9.0,voting,18740605,1826-06-17,1826,1874,48,43043490,0.0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,430100829,DAWES,HENRY,H,MA,M,R,11.0,voting,18750215,1816-10-30,1816,1875,59,43052640,1.219244525897469e-06,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,430110444,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18750226,1818-11-05,1818,1875,57,43045660,0.0,0,0,0,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.3,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4233,430117987,CHIPMAN,NORTON,H,DC,M,R,0.0,nonvoting,18750303,1834-03-07,1834,1875,41,43042330,0.0,15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.15,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4072,440008971,ALCORN,JAMES,S,MS,M,R,,voting,18760203,1816-11-04,1816,1876,60,44040721,0.0,1,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4443,440029886,GOODIN,JOHN,H,KS,M,D,2.0,voting,18760412,1836-12-14,1836,1876,40,44044430,0.0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4432,440053222,DE BOLT,REZIN,H,MO,M,D,10.0,voting,18760623,1828-01-20,1828,1876,48,44044320,0.0,3,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.3,0.4,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,440057446,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760701,1828-02-01,1828,1876,48,44052681,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,440057456,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760701,1828-02-01,1828,1876,48,44052681,0.3187953917809931,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4801,440057580,WINDOM,WILLIAM,S,MN,M,R,,voting,18760701,1827-05-10,1827,1876,49,44048011,0.0,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4974,460054103,CONVERSE,GEORGE,H,OH,M,D,9.0,voting,18800210,1827-06-04,1827,1880,53,46049740,0.0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4865,460114389,JONES,CHARLES,S,FL,M,D,,voting,18800603,1834-12-24,1834,1880,46,46048651,0.0,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5115,460151449,BRAGG,EDWARD,H,WI,M,D,5.0,voting,18810211,1827-02-20,1827,1881,54,46051150,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5670,460153233,VOORHEES,DANIEL,S,IN,M,D,,voting,18810215,1827-09-26,1827,1881,54,46056701,0.0,1,6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5697,460167163,BLAIR,HENRY,S,NH,M,R,,voting,18810228,1834-12-06,1834,1881,47,46056971,0.0,5,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5007,470046319,HASKELL,DUDLEY,H,KS,M,R,2.0,voting,18820403,1842-03-23,1842,1882,40,47050070,4.833282536313114e-10,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,470156229,SHERMAN,JOHN,S,OH,M,R,,voting,18830123,1823-05-10,1823,1883,60,47058411,0.0,0,0,1,0,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.7,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6253,470181893,REED,THOMAS,H,ME,M,R,1.0,voting,18830215,1839-10-18,1839,1883,44,47062530,0.0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,480043770,MORRILL,JUSTIN,S,VT,M,R,,voting,18840416,1810-04-14,1810,1884,74,48061251,0.0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5162,490037794,HEWITT,ABRAM,H,NY,M,D,10.0,voting,18860415,1822-07-31,1822,1886,64,49051620,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5566,490063705,CALL,WILKINSON,S,FL,M,D,,voting,18860602,1834-01-09,1834,1886,52,49055661,0.0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,500025626,ALLISON,WILLIAM,S,IA,M,R,,voting,18880314,1829-03-02,1829,1888,59,50064031,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,500025659,ALLISON,WILLIAM,S,IA,M,R,,voting,18880314,1829-03-02,1829,1888,59,50064031,0.0,0,6,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,500025664,ALLISON,WILLIAM,S,IA,M,R,,voting,18880314,1829-03-02,1829,1888,59,50064031,0.0,0,0,0,1,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.05,0.0,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6403,500025704,ALLISON,WILLIAM,S,IA,M,R,,voting,18880314,1829-03-02,1829,1888,59,50064031,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,500025710,ALLISON,WILLIAM,S,IA,M,R,,voting,18880314,1829-03-02,1829,1888,59,50064031,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,500025750,ALLISON,WILLIAM,S,IA,M,R,,voting,18880314,1829-03-02,1829,1888,59,50064031,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5140,500026457,EVARTS,WILLIAM,S,NY,M,R,,voting,18880315,1818-02-06,1818,1888,70,50051401,0.0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0.1,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,10
5268,500027005,EDMUNDS,GEORGE,S,VT,M,R,,voting,18880316,1828-02-01,1828,1888,60,50052681,0.0,6,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5356,500081251,ADAMS,GEORGE,H,IL,M,R,4.0,voting,18880706,1840-06-18,1840,1888,48,50053560,0.0,0,0,0,1,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6512,500136604,ALDRICH,NELSON,S,RI,M,R,,voting,18881206,1841-11-06,1841,1888,47,50065121,0.0009747241985853,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5940,500136605,HARRIS,ISHAM,S,TN,M,D,,voting,18881206,1818-02-10,1818,1888,70,50059401,3.340091939188948e-06,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5940,500136607,HARRIS,ISHAM,S,TN,M,D,,voting,18881206,1818-02-10,1818,1888,70,50059401,8.602121151552224e-22,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5379,500136610,BUTLER,MATTHEW,S,SC,M,D,,voting,18881206,1836-03-08,1836,1888,52,50053791,0.0,8,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,0.0,0.15,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6512,500142074,ALDRICH,NELSON,S,RI,M,R,,voting,18881219,1841-11-06,1841,1888,47,50065121,0.0,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6512,500142076,ALDRICH,NELSON,S,RI,M,R,,voting,18881219,1841-11-06,1841,1888,47,50065121,0.0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6159,500176373,VEST,GEORGE,S,MO,M,D,,voting,18890222,1830-12-06,1830,1889,59,50061591,0.0,1,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6042,510009275,MCKINLEY,WILLIAM,H,OH,M,R,18.0,voting,18900123,1843-01-29,1843,1890,47,51060420,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,510009316,CARLISLE,JOHN,S,KY,M,D,,voting,18900123,1834-09-05,1834,1890,56,51055351,0.0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5704,510009342,BRECKINRIDGE,WILLIAM,H,KY,M,D,7.0,voting,18900123,1837-08-28,1837,1890,53,51057040,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5685,510009406,MILLS,ROGER,H,TX,M,D,9.0,voting,18900124,1832-03-30,1832,1890,58,51056850,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,510009472,CARLISLE,JOHN,S,KY,M,D,,voting,18900124,1834-09-05,1834,1890,56,51055351,0.0,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,510009476,CARLISLE,JOHN,S,KY,M,D,,voting,18900124,1834-09-05,1834,1890,56,51055351,0.0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,510009480,CARLISLE,JOHN,S,KY,M,D,,voting,18900124,1834-09-05,1834,1890,56,51055351,0.0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,510009484,CARLISLE,JOHN,S,KY,M,D,,voting,18900124,1834-09-05,1834,1890,56,51055351,8.046645780944828e-16,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,510009491,CARLISLE,JOHN,S,KY,M,D,,voting,18900124,1834-09-05,1834,1890,56,51055351,0.0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5459,510053350,MCPHERSON,JOHN,S,NJ,M,D,,voting,18900430,1833-05-09,1833,1890,57,51054591,0.0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5766,510053393,GRAY,GEORGE,S,DE,M,D,,voting,18900430,1840-05-04,1840,1890,50,51057661,0.0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,510053459,ALLISON,WILLIAM,S,IA,M,R,,voting,18900430,1829-03-02,1829,1890,61,51064031,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5766,510053593,GRAY,GEORGE,S,DE,M,D,,voting,18900430,1840-05-04,1840,1890,50,51057661,0.0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5766,510054023,GRAY,GEORGE,S,DE,M,D,,voting,18900501,1840-05-04,1840,1890,50,51057661,0.0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5766,510054095,GRAY,GEORGE,S,DE,M,D,,voting,18900501,1840-05-04,1840,1890,50,51057661,0.0,0,0,1,0,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.1,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5391,510054178,COKE,RICHARD,S,TX,M,D,,voting,18900501,1829-03-13,1829,1890,61,51053911,0.0,0,1,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
