speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_1,cluster_3,cluster_2,cluster_11,cluster_4,cluster_12,cluster_5,cluster_8,cluster_6,cluster_9,cluster_7,cluster_10,cluster_0_p,cluster_1_p,cluster_3_p,cluster_2_p,cluster_11_p,cluster_4_p,cluster_12_p,cluster_5_p,cluster_8_p,cluster_6_p,cluster_9_p,cluster_7_p,cluster_10_p,n
4026,430009952,SCHURZ,CARL,S,MO,M,L,,voting,18740114,1829-03-02,1829,1874,45,0.0,2,5,1,1,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4567,430013411,CAIN,RICHARD,H,SC,M,R,-1.0,voting,18740124,1825-04-12,1825,1874,49,0.0,0,6,0,1,0,1,0,2,0,0,0,0,0,0.0,0.6,0.0,0.1,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
4311,430018943,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18740209,1830-09-15,1830,1874,44,6.418147307163219e-12,0,3,1,0,3,0,0,0,1,0,0,0,0,0.0,0.375,0.125,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,8
4043,430025855,SUMNER,CHARLES,S,MA,M,L,,voting,18740227,1811-01-06,1811,1874,63,0.0,8,0,12,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5399,430038627,COX,SAMUEL,H,NY,M,D,6.0,voting,18740407,1824-09-30,1824,1874,50,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430050914,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740508,1828-02-01,1828,1874,46,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4288,430051273,LAMPORT,WILLIAM,H,NY,M,R,26.0,voting,18740508,1811-05-27,1811,1874,63,0.0,4,6,2,7,0,0,0,0,0,0,0,0,0,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.3684210526315789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
6093,430053394,HOLMAN,WILLIAM,H,IN,M,D,3.0,voting,18740513,1822-09-06,1822,1874,52,0.0,0,7,1,1,0,0,0,1,0,0,0,0,0,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4233,430064505,CHIPMAN,NORTON,H,DC,M,R,0.0,nonvoting,18740604,1834-03-07,1834,1874,40,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
4225,430082567,BOGY,LEWIS,S,MO,M,D,,voting,18741222,1813-04-09,1813,1874,61,0.0,2,5,2,0,1,0,0,0,0,0,0,0,0,0.2,0.5,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430093178,CONKLING,ROSCOE,S,NY,M,R,,voting,18750128,1829-10-30,1829,1875,46,0.0,2,6,0,1,0,0,0,1,0,0,0,0,0,0.2,0.6,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4566,430096081,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18750204,1818-11-05,1818,1875,57,0.0,0,3,3,3,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4345,430097734,SCOFIELD,GLENNI,H,PA,M,R,-1.0,voting,18750209,1817-03-11,1817,1875,58,0.0,0,2,0,8,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6220,430110942,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18750226,1826-10-31,1826,1875,49,0.0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4380,430115097,WARD,JASPER,H,IL,M,R,2.0,voting,18750302,1829-02-01,1829,1875,46,0.0,0,8,1,0,0,1,0,0,0,0,0,0,0,0.0,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4260,440000503,FERRY,ORRIS,S,CT,M,R,,voting,18750315,1823-08-15,1823,1875,52,0.0,0,9,0,1,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,440003679,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18760112,1831-11-19,1831,1876,45,0.0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4506,440003743,SEELYE,JULIUS,H,MA,M,I,10.0,voting,18760112,1824-09-14,1824,1876,52,0.0,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5325,440005607,REAGAN,JOHN,H,TX,M,D,1.0,voting,18760120,1818-10-08,1818,1876,58,0.0,1,0,0,8,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4443,440006547,GOODIN,JOHN,H,KS,M,D,2.0,voting,18760125,1836-12-14,1836,1876,40,0.0,2,7,0,1,0,0,0,0,0,0,0,0,0,0.2,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4544,440008803,WOODWORTH,LAURIN,H,OH,M,R,17.0,voting,18760202,1837-09-10,1837,1876,39,0.0,2,7,0,1,0,0,0,0,0,0,0,0,0,0.2,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4396,440018222,HARVEY,JAMES,S,KS,M,R,,voting,18760308,1833-09-21,1833,1876,43,0.0,0,6,0,4,0,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4506,440030810,SEELYE,JULIUS,H,MA,M,I,10.0,voting,18760413,1824-09-14,1824,1876,52,0.0,4,4,0,2,0,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4991,440040435,ELLIS,EZEKIEL,H,LA,M,D,2.0,voting,18760524,1840-10-15,1840,1876,36,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,440042766,SARGENT,AARON,S,CA,M,R,,voting,18760603,1827-09-28,1827,1876,49,0.0,2,4,2,1,0,0,1,0,0,0,0,0,0,0.2,0.4,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4484,440045233,NASH,CHARLES,H,LA,M,R,6.0,voting,18760607,1844-05-23,1844,1876,32,0.0,2,7,0,0,0,0,0,1,0,0,0,0,0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4700,440047660,BRIGHT,JOHN,H,TN,M,D,5.0,voting,18760614,1817-01-20,1817,1876,59,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4849,440047703,HARDENBERGH,AUGUSTUS,H,NJ,M,D,7.0,voting,18760614,1830-05-18,1830,1876,46,0.0,0,8,1,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4635,440061631,PHILLIPS,WILLIAM,H,KS,M,R,1.0,voting,18760713,1824-01-14,1824,1876,52,0.0,1,4,2,3,0,0,0,0,0,0,0,0,0,0.1,0.4,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4311,440064052,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18760718,1830-09-15,1830,1876,46,0.0,0,7,2,0,0,0,0,0,0,0,0,0,0,0.0,0.7777777777777778,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4665,440064345,TOWNSEND,MARTIN,H,NY,M,R,17.0,voting,18760718,1810-02-06,1810,1876,66,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5027,440070482,LAMAR,LUCIUS,H,MS,M,D,1.0,voting,18760802,1825-09-17,1825,1876,51,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
