speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_8,cluster_0,cluster_4,cluster_3,cluster_6,cluster_9,cluster_5,cluster_10,cluster_1,cluster_2,cluster_7,cluster_11,cluster_8_p,cluster_0_p,cluster_4_p,cluster_3_p,cluster_6_p,cluster_9_p,cluster_5_p,cluster_10_p,cluster_1_p,cluster_2_p,cluster_7_p,cluster_11_p,n
4190,430001843,STEVENSON,JOHN,S,KY,M,D,,voting,18730325,1812-05-04,1812,1873,61,0.0,2,1,1,1,5,0,0,0,0,0,0,0,0.2,0.1,0.1,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,430001861,STEVENSON,JOHN,S,KY,M,D,,voting,18730325,1812-05-04,1812,1873,61,1.3036455779420592e-06,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4245,430004076,CROCKER,ALVAH,H,MA,M,R,10.0,voting,18731211,1801-10-14,1801,1873,72,0.0,2,0,1,0,7,0,0,0,0,0,0,0,0.2,0.0,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4589,430005950,FERRY,THOMAS,S,MI,M,R,,voting,18731218,1827-06-10,1827,1873,46,0.0,1,1,8,0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430007021,FLANAGAN,JAMES,S,TX,M,R,,voting,18740105,1805-09-05,1805,1874,69,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430007300,FLANAGAN,JAMES,S,TX,M,R,,voting,18740106,1805-09-05,1805,1874,69,0.0,0,6,8,1,1,0,0,4,0,0,0,0,0.0,0.3,0.4,0.05,0.05,0.0,0.0,0.2,0.0,0.0,0.0,0.0,20
4065,430007303,FLANAGAN,JAMES,S,TX,M,R,,voting,18740106,1805-09-05,1805,1874,69,0.0,1,0,6,0,3,0,0,0,0,0,0,0,0.1,0.0,0.6,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4027,430022150,SCOTT,JOHN,S,PA,M,R,,voting,18740218,1824-07-24,1824,1874,50,5.1488473397567815e-20,1,0,0,0,9,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4273,430024705,HAZELTON,GERRY,H,WI,M,R,2.0,voting,18740224,1829-02-24,1829,1874,45,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4239,430025035,COBB,STEPHEN,H,KS,M,R,-1.0,voting,18740225,1833-06-17,1833,1874,41,0.0,1,0,0,0,8,0,1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4336,430025059,RICE,JOHN,H,IL,M,R,1.0,voting,18740225,1809-05-28,1809,1874,65,0.0,1,1,0,0,26,0,2,0,0,0,0,0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.8666666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,30
4065,430025469,FLANAGAN,JAMES,S,TX,M,R,,voting,18740226,1805-09-05,1805,1874,69,0.0,2,0,9,2,7,0,0,0,0,0,0,0,0.1,0.0,0.45,0.1,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4589,430028587,FERRY,THOMAS,S,MI,M,R,,voting,18740310,1827-06-10,1827,1874,47,0.0,0,1,0,2,4,0,1,2,0,0,0,0,0.0,0.1,0.0,0.2,0.4,0.0,0.1,0.2,0.0,0.0,0.0,0.0,10
4700,430034400,BRIGHT,JOHN,H,TN,M,D,4.0,voting,18740328,1817-01-20,1817,1874,57,0.0,1,0,0,0,8,0,1,0,0,0,0,0,0.1,0.0,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4700,430034408,BRIGHT,JOHN,H,TN,M,D,4.0,voting,18740328,1817-01-20,1817,1874,57,0.0,0,2,0,5,3,0,0,0,0,0,0,0,0.0,0.2,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430037999,FLANAGAN,JAMES,S,TX,M,R,,voting,18740406,1805-09-05,1805,1874,69,0.0,3,2,0,1,4,0,0,0,0,0,0,0,0.3,0.2,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430040023,FLANAGAN,JAMES,S,TX,M,R,,voting,18740410,1805-09-05,1805,1874,69,0.0,0,0,4,0,6,0,0,0,0,0,0,0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430043068,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740416,1831-11-19,1831,1874,43,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4521,430046508,TOWNSEND,WASHINGTON,H,PA,M,R,7.0,voting,18740424,1813-01-20,1813,1874,61,0.0,0,1,3,0,6,0,0,0,0,0,0,0,0.0,0.1,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4324,430048081,PARKER,ISAAC,H,MO,M,R,9.0,voting,18740429,1838-10-15,1838,1874,36,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430048102,SHERMAN,JOHN,S,OH,M,R,,voting,18740430,1823-05-10,1823,1874,51,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430056284,FLANAGAN,JAMES,S,TX,M,R,,voting,18740519,1805-09-05,1805,1874,69,0.0,2,5,1,0,2,0,0,0,0,0,0,0,0.2,0.5,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4205,430056438,WEST,JOSEPH,S,LA,M,R,,voting,18740519,1822-09-19,1822,1874,52,0.0,1,1,0,0,8,0,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430063729,FLANAGAN,JAMES,S,TX,M,R,,voting,18740603,1805-09-05,1805,1874,69,0.0,2,1,0,3,2,1,1,0,0,0,0,0,0.2,0.1,0.0,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
4381,430064540,WARD,MARCUS,H,NJ,M,R,6.0,voting,18740604,1812-11-09,1812,1874,62,0.0,1,0,1,0,8,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430065012,FLANAGAN,JAMES,S,TX,M,R,,voting,18740605,1805-09-05,1805,1874,69,0.0,0,0,2,0,18,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4377,430066998,TREMAIN,LYMAN,H,NY,M,R,-1.0,voting,18740609,1819-06-14,1819,1874,55,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430067880,FLANAGAN,JAMES,S,TX,M,R,,voting,18740611,1805-09-05,1805,1874,69,0.0,2,0,0,0,8,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430071346,MORTON,OLIVER,S,IN,M,R,,voting,18740616,1823-08-04,1823,1874,51,0.0,0,0,1,2,6,0,0,1,0,0,0,0,0.0,0.0,0.1,0.2,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
