speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_3,cluster_2,cluster_0,cluster_13,cluster_6,cluster_1,cluster_4,cluster_7,cluster_5,cluster_9,cluster_11,cluster_10,cluster_8,cluster_12,cluster_14,cluster_3_p,cluster_2_p,cluster_0_p,cluster_13_p,cluster_6_p,cluster_1_p,cluster_4_p,cluster_7_p,cluster_5_p,cluster_9_p,cluster_11_p,cluster_10_p,cluster_8_p,cluster_12_p,cluster_14_p,n
5024,430023294,KASSON,JOHN,H,IA,M,R,7.0,voting,18740219,1822-01-11,1822,1874,52,43050240,0.0,0,1,1,0,0,5,1,0,1,1,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0,0.5,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
5024,430023306,KASSON,JOHN,H,IA,M,R,7.0,voting,18740219,1822-01-11,1822,1874,52,43050240,0.0,0,0,4,0,1,11,1,0,0,2,0,0,0,0,0,0.0,0.0,0.21052631578947367,0.0,0.05263157894736842,0.5789473684210527,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,19
4709,430023341,CLYMER,HIESTER,H,PA,M,D,8.0,voting,18740219,1827-11-03,1827,1874,47,43047090,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4709,430023343,CLYMER,HIESTER,H,PA,M,D,8.0,voting,18740219,1827-11-03,1827,1874,47,43047090,0.4990613127831679,0,1,0,0,0,8,1,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,430029978,LOGAN,JOHN,S,IL,M,R,,voting,18740318,1826-02-09,1826,1874,48,43051751,0.0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,10
4947,430046845,WOOD,FERNANDO,H,NY,M,D,10.0,voting,18740425,1812-06-14,1812,1874,62,43049470,0.0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,10
4378,430056998,TYNER,JAMES,H,IN,M,R,8.0,voting,18740520,1826-01-17,1826,1874,48,43043780,0.0,0,1,1,0,0,5,1,0,0,1,0,0,0,0,0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9
4332,430067049,RAPIER,JAMES,H,AL,M,R,2.0,voting,18740609,1837-11-13,1837,1874,37,43043320,0.0,1,3,1,0,0,3,0,0,1,1,0,0,0,0,0,0.1,0.3,0.1,0.0,0.0,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
6348,430099167,MITCHELL,JOHN,S,OR,M,R,,voting,18750212,1835-06-22,1835,1875,40,43063481,0.0,0,0,1,0,0,7,0,0,1,1,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
5175,430105103,LOGAN,JOHN,S,IL,M,R,,voting,18750222,1826-02-09,1826,1875,49,43051751,2.6115461316687372e-08,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,10
4140,440013326,KELLY,JAMES,S,OR,M,D,,voting,18760221,1819-02-16,1819,1876,57,44041401,0.0,1,2,3,0,0,3,0,0,0,1,0,0,0,0,0,0.1,0.2,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4801,440013872,WINDOM,WILLIAM,S,MN,M,R,,voting,18760223,1827-05-10,1827,1876,49,44048011,0.0,0,2,2,0,0,5,1,0,0,0,0,0,0,0,0,0.0,0.2,0.2,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
