speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_4,cluster_2,cluster_9,cluster_5,cluster_0,cluster_3,cluster_6,cluster_1,cluster_7,cluster_12,cluster_10,cluster_8,cluster_13,cluster_14,cluster_11,cluster_4_p,cluster_2_p,cluster_9_p,cluster_5_p,cluster_0_p,cluster_3_p,cluster_6_p,cluster_1_p,cluster_7_p,cluster_12_p,cluster_10_p,cluster_8_p,cluster_13_p,cluster_14_p,cluster_11_p,n
4380,430042459,WARD,JASPER,H,IL,M,R,2.0,voting,18740415,1829-02-01,1829,1874,45,0.0063678264442533,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4369,430044857,STANDIFORD,ELISHA,H,KY,M,D,5.0,voting,18740421,1831-12-28,1831,1874,43,0.0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4285,430046857,KELLOGG,STEPHEN,H,CT,M,R,2.0,voting,18740425,1822-04-05,1822,1874,52,0.0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430087409,BECK,JAMES,H,KY,M,D,7.0,voting,18750115,1822-02-13,1822,1875,53,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4460,440015755,KERNAN,FRANCIS,S,NY,M,D,,voting,18760229,1816-01-14,1816,1876,60,0.0,0,0,0,2,6,0,0,2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5485,440028400,RANDALL,SAMUEL,H,PA,M,D,3.0,voting,18760406,1828-10-10,1828,1876,48,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,440061802,ALLISON,WILLIAM,S,IA,M,R,,voting,18760714,1829-03-02,1829,1876,47,0.0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4627,440085998,LYNDE,WILLIAM,H,WI,M,D,4.0,voting,18761220,1817-12-16,1817,1876,59,0.0,1,0,0,1,3,0,1,3,1,0,0,0,0,0,0,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4602,450019978,HANNA,JOHN,H,IN,M,R,7.0,voting,18780131,1827-09-03,1827,1878,51,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5482,450034048,PLUMB,PRESTON,S,KS,M,R,,voting,18780311,1837-10-12,1837,1878,41,0.0,2,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,10
4815,450034051,CAMERON,ANGUS,S,WI,M,R,,voting,18780311,1826-07-04,1826,1878,52,0.0,8,2,0,1,0,1,1,3,0,0,0,4,0,0,0,0.4,0.1,0.0,0.05,0.0,0.05,0.05,0.15,0.0,0.0,0.0,0.2,0.0,0.0,0.0,20
4815,450034133,CAMERON,ANGUS,S,WI,M,R,,voting,18780311,1826-07-04,1826,1878,52,1.3197136943659228e-10,1,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,10
4883,450080071,MAXEY,SAMUEL,S,TX,M,D,,voting,18780610,1825-03-30,1825,1878,53,0.0,0,1,5,1,1,3,0,9,0,0,0,0,0,0,0,0.0,0.05,0.25,0.05,0.05,0.15,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
6352,450121281,MORGAN,JOHN,S,AL,M,D,,voting,18790224,1824-06-20,1824,1879,55,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4883,450129591,MAXEY,SAMUEL,S,TX,M,D,,voting,18790301,1825-03-30,1825,1879,54,0.0,0,0,1,0,1,0,0,8,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,450129606,EDMUNDS,GEORGE,S,VT,M,R,,voting,18790301,1828-02-01,1828,1879,51,0.0,0,1,5,0,0,0,0,4,0,0,0,0,0,0,0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,460004884,COX,SAMUEL,H,NY,M,D,6.0,voting,18790409,1824-09-30,1824,1879,55,0.0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4756,460067365,MCMAHON,JOHN,H,OH,M,D,3.0,voting,18800317,1833-02-19,1833,1880,47,0.0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6287,460075089,BLACKBURN,JOSEPH,H,KY,M,D,7.0,voting,18800331,1838-10-01,1838,1880,42,0.0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
5380,460080227,BUTTERWORTH,BENJAMIN,H,OH,M,R,1.0,voting,18800412,1837-10-22,1837,1880,43,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,460084757,CONGER,OMAR,H,MI,M,R,7.0,voting,18800420,1818-04-01,1818,1880,62,1.656510380466756e-06,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
