speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_3,cluster_11,cluster_5,cluster_1,cluster_6,cluster_12,cluster_7,cluster_9,cluster_8,cluster_4,cluster_13,cluster_0,cluster_10,cluster_2,cluster_3_p,cluster_11_p,cluster_5_p,cluster_1_p,cluster_6_p,cluster_12_p,cluster_7_p,cluster_9_p,cluster_8_p,cluster_4_p,cluster_13_p,cluster_0_p,cluster_10_p,cluster_2_p,n
4245,430004076,CROCKER,ALVAH,H,MA,M,R,10.0,voting,18731211,1801-10-14,1801,1873,72,43042450,0.0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430017860,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740205,1831-11-19,1831,1874,43,43048000,0.0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0.4,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4214,430024678,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18740224,1830-12-13,1830,1874,44,43042140,0.0,1,2,2,1,1,1,1,0,1,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4026,430032018,SCHURZ,CARL,S,MO,M,L,,voting,18740323,1829-03-02,1829,1874,45,43040261,0.0,3,0,4,0,3,0,0,0,0,0,0,0,0,0,0.3,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4225,430034100,BOGY,LEWIS,S,MO,M,D,,voting,18740327,1813-04-09,1813,1874,61,43042251,0.0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430051567,BECK,JAMES,H,KY,M,D,7.0,voting,18740509,1822-02-13,1822,1874,52,43053670,0.0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4240,430070718,COBURN,JOHN,H,IN,M,R,5.0,voting,18740615,1825-10-27,1825,1874,49,43042400,0.0,0,0,7,1,0,0,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
4703,430076055,CHANDLER,ZACHARIAH,S,MI,M,R,,voting,18740620,1813-12-10,1813,1874,61,43047031,0.0,2,0,6,0,1,0,0,0,1,0,0,0,0,0,0.2,0.0,0.6,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4397,430090656,PEASE,HENRY,S,MS,M,R,,voting,18750126,1835-02-19,1835,1875,40,43043971,0.0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
4454,430096771,HURLBUT,STEPHEN,H,IL,M,R,4.0,voting,18750206,1815-11-29,1815,1875,60,43044540,0.0,4,3,0,0,3,0,0,0,0,0,0,0,0,0,0.4,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
