speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_8,cluster_4,cluster_5,cluster_12,cluster_6,cluster_2,cluster_11,cluster_7,cluster_9,cluster_3,cluster_10,cluster_1,cluster_0_p,cluster_8_p,cluster_4_p,cluster_5_p,cluster_12_p,cluster_6_p,cluster_2_p,cluster_11_p,cluster_7_p,cluster_9_p,cluster_3_p,cluster_10_p,cluster_1_p,n
4589,430002785,FERRY,THOMAS,S,MI,M,R,,voting,18731204,1827-06-10,1827,1873,46,0.0,0,1,3,0,0,0,6,0,0,0,0,0,0,0.0,0.1,0.3,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10
4248,430005305,CROZIER,ROBERT,S,KS,M,R,,voting,18731217,1827-10-13,1827,1873,46,0.0,7,3,0,0,0,0,0,0,0,0,0,0,0,0.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4259,430007395,ELLIOTT,ROBERT,H,SC,M,R,3.0,voting,18740106,1842-08-11,1842,1874,32,0.0,0,9,1,1,0,7,2,0,0,0,0,0,0,0.0,0.45,0.05,0.05,0.0,0.35,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20
4711,430007571,CONKLING,ROSCOE,S,NY,M,R,,voting,18740107,1829-10-30,1829,1874,45,8.496359949667155e-08,0,0,1,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
5024,430008160,KASSON,JOHN,H,IA,M,R,7.0,voting,18740108,1822-01-11,1822,1874,52,0.0,16,1,0,2,0,1,0,0,0,0,0,0,0,0.8,0.05,0.0,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4589,430009904,FERRY,THOMAS,S,MI,M,R,,voting,18740114,1827-06-10,1827,1874,47,0.0,0,3,0,1,0,2,1,1,1,1,0,0,0,0.0,0.3,0.0,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,10
4567,430013411,CAIN,RICHARD,H,SC,M,R,-1.0,voting,18740124,1825-04-12,1825,1874,49,0.0,1,2,0,1,0,0,4,0,2,0,0,0,0,0.1,0.2,0.0,0.1,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,10
4302,430013605,MCCREERY,THOMAS,S,KY,M,D,,voting,18740126,1816-12-12,1816,1874,58,0.0,2,2,2,1,0,3,0,0,0,0,0,0,0,0.2,0.2,0.2,0.1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5052,430023472,POLAND,LUKE,H,VT,M,R,2.0,voting,18740219,1815-11-01,1815,1874,59,0.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4309,430026336,MELLISH,DAVID,H,NY,M,R,9.0,voting,18740228,1831-01-02,1831,1874,43,0.0,0,6,0,0,0,0,4,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430032081,CONKLING,ROSCOE,S,NY,M,R,,voting,18740323,1829-10-30,1829,1874,45,0.0,2,4,0,3,0,0,1,0,0,0,0,0,0,0.2,0.4,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4302,430037703,MCCREERY,THOMAS,S,KY,M,D,,voting,18740406,1816-12-12,1816,1874,58,0.0,1,2,0,0,0,7,0,0,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430049682,MORRILL,LOT,S,ME,M,R,,voting,18740505,1813-05-03,1813,1874,61,0.0,0,1,2,6,1,0,0,0,0,0,0,0,0,0.0,0.1,0.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
