speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_3,cluster_2,cluster_1,cluster_6,cluster_8,cluster_7,cluster_10,cluster_12,cluster_5,cluster_14,cluster_11,cluster_9,cluster_15,cluster_16,cluster_4,cluster_17,cluster_13,cluster_0_p,cluster_3_p,cluster_2_p,cluster_1_p,cluster_6_p,cluster_8_p,cluster_7_p,cluster_10_p,cluster_12_p,cluster_5_p,cluster_14_p,cluster_11_p,cluster_9_p,cluster_15_p,cluster_16_p,cluster_4_p,cluster_17_p,cluster_13_p,n
4575,430018720,CRITTENDEN,THOMAS,H,MO,M,D,7.0,voting,18740207,1832-01-01,1832,1874,42,0.0,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4663,430018732,THORNBURGH,JACOB,H,TN,M,R,2.0,voting,18740207,1837-07-03,1837,1874,37,0.0,2,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.5,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4026,430024574,SCHURZ,CARL,S,MO,M,L,,voting,18740224,1829-03-02,1829,1874,45,0.0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430027956,BECK,JAMES,H,KY,M,D,7.0,voting,18740305,1822-02-13,1822,1874,52,0.0,0,1,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4324,430048079,PARKER,ISAAC,H,MO,M,R,9.0,voting,18740429,1838-10-15,1838,1874,36,0.0,2,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.0,0.4,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430054589,ALCORN,JAMES,S,MS,M,R,,voting,18740515,1816-11-04,1816,1874,58,0.0,4,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4269,430054825,HALE,ROBERT,H,NY,M,R,17.0,voting,18740515,1822-09-24,1822,1874,52,0.0,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430063729,FLANAGAN,JAMES,S,TX,M,R,,voting,18740603,1805-09-05,1805,1874,69,0.0,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430067209,ALCORN,JAMES,S,MS,M,R,,voting,18740610,1816-11-04,1816,1874,58,0.0,2,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.1,0.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4379,430067210,WADLEIGH,BAINBRIDGE,S,NH,M,R,,voting,18740610,1831-01-04,1831,1874,43,0.0,2,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4445,430067221,HAMLIN,HANNIBAL,S,ME,M,R,,voting,18740610,1809-08-27,1809,1874,65,0.0,1,1,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
