speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_2,cluster_3,cluster_6,cluster_8,cluster_1,cluster_10,cluster_4,cluster_9,cluster_5,cluster_7,cluster_11,cluster_0_p,cluster_2_p,cluster_3_p,cluster_6_p,cluster_8_p,cluster_1_p,cluster_10_p,cluster_4_p,cluster_9_p,cluster_5_p,cluster_7_p,cluster_11_p,n
4314,430000370,MORTON,OLIVER,S,IN,M,R,,voting,18730310,1823-08-04,1823,1873,50,0.0,5,1,3,0,0,1,0,0,0,0,0,0,0.5,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430000862,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730317,1830-03-01,1830,1873,43,0.0,2,1,2,3,0,0,1,1,0,0,0,0,0.2,0.1,0.2,0.3,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,10
4711,430001105,CONKLING,ROSCOE,S,NY,M,R,,voting,18730319,1829-10-30,1829,1873,44,0.0,1,3,0,2,0,0,0,4,0,0,0,0,0.1,0.3,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,10
4711,430001145,CONKLING,ROSCOE,S,NY,M,R,,voting,18730319,1829-10-30,1829,1873,44,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430001184,CONKLING,ROSCOE,S,NY,M,R,,voting,18730320,1829-10-30,1829,1873,44,0.0,0,7,0,0,0,3,0,0,0,0,0,0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430001188,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730320,1830-03-01,1830,1873,43,0.0,2,2,5,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4260,430001451,FERRY,ORRIS,S,CT,M,R,,voting,18730322,1823-08-15,1823,1873,50,0.0,0,2,7,0,1,0,0,0,0,0,0,0,0.0,0.2,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4210,430001751,WRIGHT,GEORGE,S,IA,M,R,,voting,18730325,1820-03-24,1820,1873,53,0.0,2,0,8,0,0,0,0,0,0,0,0,0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4027,430001867,SCOTT,JOHN,S,PA,M,R,,voting,18730325,1824-07-24,1824,1873,49,0.0,0,0,8,1,0,0,0,0,0,0,0,0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4589,430002785,FERRY,THOMAS,S,MI,M,R,,voting,18731204,1827-06-10,1827,1873,46,0.0,1,1,6,0,1,0,0,0,0,0,0,0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4210,430003109,WRIGHT,GEORGE,S,IA,M,R,,voting,18731208,1820-03-24,1820,1873,53,0.0,0,3,14,0,0,1,0,1,0,0,0,0,0.0,0.15789473684210525,0.7368421052631579,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,19
4043,430003931,SUMNER,CHARLES,S,MA,M,L,,voting,18731211,1811-01-06,1811,1873,62,0.0,1,0,3,5,0,0,1,0,0,0,0,0,0.1,0.0,0.3,0.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
