speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_10,cluster_7,cluster_4,cluster_12,cluster_6,cluster_0,cluster_8,cluster_11,cluster_1,cluster_3,cluster_14,cluster_9,cluster_13,cluster_16,cluster_5,cluster_2,cluster_15,cluster_10_p,cluster_7_p,cluster_4_p,cluster_12_p,cluster_6_p,cluster_0_p,cluster_8_p,cluster_11_p,cluster_1_p,cluster_3_p,cluster_14_p,cluster_9_p,cluster_13_p,cluster_16_p,cluster_5_p,cluster_2_p,cluster_15_p,n
5321,430028832,PHELPS,WILLIAM,H,NJ,M,R,5.0,voting,18740310,1839-08-24,1839,1874,35,0.0,0,0,1,0,1,4,0,0,3,1,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.0,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4641,430047410,RAINEY,JOSEPH,H,SC,M,R,1.0,voting,18740427,1832-06-21,1832,1874,42,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4377,430066998,TREMAIN,LYMAN,H,NY,M,R,-1.0,voting,18740609,1819-06-14,1819,1874,55,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4397,430090205,PEASE,HENRY,S,MS,M,R,,voting,18750125,1835-02-19,1835,1875,40,0.0,0,1,0,0,2,5,1,0,1,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.2,0.5,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4905,440010170,PHELPS,JAMES,H,CT,M,D,2.0,voting,18760208,1822-01-12,1822,1876,54,0.0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4947,440017113,WOOD,FERNANDO,H,NY,M,D,9.0,voting,18760306,1812-06-14,1812,1876,64,0.0,1,0,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0.0,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4575,450017706,CRITTENDEN,THOMAS,H,MO,M,D,7.0,voting,18780123,1832-01-01,1832,1878,46,0.0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4427,450036868,CHRISTIANCY,ISAAC,S,MI,M,R,,voting,18780318,1812-03-12,1812,1878,66,0.0,1,0,2,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0.0,0.2,0.2,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4629,450046065,MATTHEWS,STANLEY,S,OH,M,R,,voting,18780410,1824-07-21,1824,1878,54,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,0
4991,450050333,ELLIS,EZEKIEL,H,LA,M,D,2.0,voting,18780418,1840-10-15,1840,1878,38,0.0,1,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0.1,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
