speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_3,cluster_11,cluster_1,cluster_8,cluster_9,cluster_0,cluster_2,cluster_6,cluster_12,cluster_15,cluster_7,cluster_10,cluster_5,cluster_4,cluster_14,cluster_13,cluster_3_p,cluster_11_p,cluster_1_p,cluster_8_p,cluster_9_p,cluster_0_p,cluster_2_p,cluster_6_p,cluster_12_p,cluster_15_p,cluster_7_p,cluster_10_p,cluster_5_p,cluster_4_p,cluster_14_p,cluster_13_p,n
5841,440075778,SHERMAN,JOHN,S,OH,M,R,,voting,18760810,1823-05-10,1823,1876,53,4.015851274504298e-05,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5207,450014073,SINGLETON,OTHO,H,MS,M,D,4.0,voting,18771214,1814-10-14,1814,1877,63,0.0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5668,470023479,VANCE,ZEBULON,S,NC,M,D,,voting,18820214,1830-05-13,1830,1882,52,0.0,0,0,3,0,3,1,0,1,0,0,2,0,0,0,0,0,0.0,0.0,0.3,0.0,0.3,0.1,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
6125,470038289,MORRILL,JUSTIN,S,VT,M,R,,voting,18820317,1810-04-14,1810,1882,72,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6352,470040182,MORGAN,JOHN,S,AL,M,D,,voting,18820321,1824-06-20,1824,1882,58,0.0,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,10
6042,470048664,MCKINLEY,WILLIAM,H,OH,M,R,17.0,voting,18820406,1843-01-29,1843,1882,39,0.0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5391,470149265,COKE,RICHARD,S,TX,M,D,,voting,18830111,1829-03-13,1829,1883,54,0.0001038347133655,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
5841,470149268,SHERMAN,JOHN,S,OH,M,R,,voting,18830111,1823-05-10,1823,1883,60,0.0,3,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.1,0.0,0.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5116,470156267,BROWN,JOSEPH,S,GA,M,D,,voting,18830123,1821-04-15,1821,1883,62,0.0,4,10,0,0,2,1,0,0,0,0,1,11,0,0,0,0,0.13793103448275862,0.3448275862068966,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.3793103448275862,0.0,0.0,0.0,0.0,29
5434,470162238,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18830130,1814-04-12,1814,1883,69,0.0122853903681704,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,470162240,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18830130,1814-04-12,1814,1883,69,0.0001278968318045,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.7,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5535,470162241,CARLISLE,JOHN,H,KY,M,D,6.0,voting,18830130,1834-09-05,1834,1883,49,0.0001790829650592,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,10
6352,470163654,MORGAN,JOHN,S,AL,M,D,,voting,18830201,1824-06-20,1824,1883,59,0.0,1,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
4649,470171340,ROLLINS,EDWARD,S,NH,M,R,,voting,18830208,1824-10-03,1824,1883,59,0.0,1,1,10,3,2,1,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.05555555555555555,0.5555555555555556,0.16666666666666666,0.1111111111111111,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5668,470178861,VANCE,ZEBULON,S,NC,M,D,,voting,18830214,1830-05-13,1830,1883,53,0.0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4649,470182702,ROLLINS,EDWARD,S,NH,M,R,,voting,18830216,1824-10-03,1824,1883,59,0.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5264,470182711,DAWES,HENRY,S,MA,M,R,,voting,18830216,1816-10-30,1816,1883,67,2.4899990109685408e-17,1,2,14,9,0,0,1,0,0,0,0,0,0,0,0,0,0.037037037037037035,0.07407407407407407,0.5185185185185185,0.3333333333333333,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
5264,470182767,DAWES,HENRY,S,MA,M,R,,voting,18830216,1816-10-30,1816,1883,67,0.0,17,9,30,4,1,0,5,0,0,0,0,0,0,0,0,0,0.25757575757575757,0.13636363636363635,0.45454545454545453,0.06060606060606061,0.015151515151515152,0.0,0.07575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66
5264,470182769,DAWES,HENRY,S,MA,M,R,,voting,18830216,1816-10-30,1816,1883,67,1.6841028947399937e-21,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,470182780,LOGAN,JOHN,S,IL,M,R,,voting,18830216,1826-02-09,1826,1883,57,0.0,3,1,9,3,2,8,1,0,0,8,1,2,1,0,1,0,0.075,0.025,0.225,0.075,0.05,0.2,0.025,0.0,0.0,0.2,0.025,0.05,0.025,0.0,0.025,0.0,40
6512,470182783,ALDRICH,NELSON,S,RI,M,R,,voting,18830216,1841-11-06,1841,1883,42,0.1936066826765767,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,470182786,LOGAN,JOHN,S,IL,M,R,,voting,18830216,1826-02-09,1826,1883,57,6.4129501050758095e-06,2,1,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0.2,0.1,0.1,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,470182789,MORRILL,JUSTIN,S,VT,M,R,,voting,18830216,1810-04-14,1810,1883,73,0.0031533792588321,2,4,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.1,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,470182790,LOGAN,JOHN,S,IL,M,R,,voting,18830216,1826-02-09,1826,1883,57,0.0,12,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0.05,0.3,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
