speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_5,cluster_10,cluster_6,cluster_1,cluster_0,cluster_11,cluster_9,cluster_4,cluster_2,cluster_8,cluster_7,cluster_3,cluster_5_p,cluster_10_p,cluster_6_p,cluster_1_p,cluster_0_p,cluster_11_p,cluster_9_p,cluster_4_p,cluster_2_p,cluster_8_p,cluster_7_p,cluster_3_p,n
4342,430002823,SARGENT,AARON,S,CA,M,R,,voting,18731204,1827-09-28,1827,1873,46,6.816408996230691e-09,0,0,0,1,0,8,0,0,1,0,0,0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,10
4210,430005241,WRIGHT,GEORGE,S,IA,M,R,,voting,18731217,1820-03-24,1820,1873,53,0.0001937856178567,0,0,0,0,0,9,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,10
3931,430014208,BOREMAN,ARTHUR,S,WV,M,R,,voting,18740128,1823-07-24,1823,1874,51,0.0,0,0,0,1,0,8,0,0,1,0,0,0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,10
4269,430032296,HALE,ROBERT,H,NY,M,R,17.0,voting,18740323,1822-09-24,1822,1874,52,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
4332,430067049,RAPIER,JAMES,H,AL,M,R,2.0,voting,18740609,1837-11-13,1837,1874,37,0.0,0,0,0,1,0,0,0,1,8,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.8,0.0,0.0,0.0,10
4520,430083269,THURMAN,ALLEN,S,OH,M,D,,voting,18750105,1813-11-13,1813,1875,62,0.0,5,0,1,1,1,1,0,0,1,0,0,0,0.5,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,10
4711,430101281,CONKLING,ROSCOE,S,NY,M,R,,voting,18750217,1829-10-30,1829,1875,46,0.0,2,0,2,1,1,0,0,2,2,0,0,0,0.2,0.0,0.2,0.1,0.1,0.0,0.0,0.2,0.2,0.0,0.0,0.0,10
4311,430101640,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18750217,1830-09-15,1830,1875,45,0.0,0,0,0,0,0,0,0,1,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,10
5175,440000696,LOGAN,JOHN,S,IL,M,R,,voting,18750316,1826-02-09,1826,1875,49,0.0,0,0,0,0,0,1,0,1,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.8,0.0,0.0,0.0,10
4546,440003357,BLAINE,JAMES,H,ME,M,R,3.0,voting,18760111,1830-01-31,1830,1876,46,5.490496263145487e-11,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4210,440005227,WRIGHT,GEORGE,S,IA,M,R,,voting,18760119,1820-03-24,1820,1876,56,0.0,0,0,0,1,0,8,0,0,1,0,0,0,0.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,10
5268,440005239,EDMUNDS,GEORGE,S,VT,M,R,,voting,18760119,1828-02-01,1828,1876,48,0.0,1,0,0,2,0,5,2,0,0,0,0,0,0.1,0.0,0.0,0.2,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,10
5841,440010028,SHERMAN,JOHN,S,OH,M,R,,voting,18760208,1823-05-10,1823,1876,53,0.0,0,0,0,0,0,5,0,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.4,0.0,0.0,0.0,10
5485,440010990,RANDALL,SAMUEL,H,PA,M,D,3.0,voting,18760211,1828-10-10,1828,1876,48,2.364682664017565e-23,3,0,3,1,1,1,0,1,0,0,0,0,0.3,0.0,0.3,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
4427,440017371,CHRISTIANCY,ISAAC,S,MI,M,R,,voting,18760307,1812-03-12,1812,1876,64,0.0,1,0,1,1,0,0,1,0,6,0,0,0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,10
4314,440018231,MORTON,OLIVER,S,IN,M,R,,voting,18760308,1823-08-04,1823,1876,53,0.0,0,0,0,0,0,0,0,1,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,10
5412,440020781,DUNNELL,MARK,H,MN,M,R,1.0,voting,18760317,1823-07-02,1823,1876,53,0.0,1,0,2,1,0,1,4,0,1,0,0,0,0.1,0.0,0.2,0.1,0.0,0.1,0.4,0.0,0.1,0.0,0.0,0.0,10
4311,440036387,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18760503,1830-09-15,1830,1876,46,0.0,0,0,0,1,0,0,0,2,7,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,10
5024,440044547,KASSON,JOHN,H,IA,M,R,7.0,voting,18760606,1822-01-11,1822,1876,54,0.0,1,0,2,7,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4476,440046043,MCCRARY,GEORGE,H,IA,M,R,1.0,voting,18760608,1835-08-29,1835,1876,41,0.0,0,0,0,1,0,1,0,1,7,0,0,0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.7,0.0,0.0,0.0,10
4883,440049357,MAXEY,SAMUEL,S,TX,M,D,,voting,18760620,1825-03-30,1825,1876,51,0.0,0,0,0,0,0,5,0,0,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,10
4066,440053893,HAMILTON,MORGAN,S,TX,M,R,,voting,18760626,1809-02-25,1809,1876,67,0.0,0,0,7,2,0,1,0,0,0,0,0,0,0.0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4456,440055602,JENKS,GEORGE,H,PA,M,D,25.0,voting,18760628,1836-03-26,1836,1876,40,0.0,0,0,2,6,0,0,2,0,0,0,0,0,0.0,0.0,0.2,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
4800,440086672,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18761227,1831-11-19,1831,1876,45,2.2843045674043287e-14,6,0,1,0,1,2,0,0,0,0,0,0,0.6,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
4467,440094175,LANDERS,FRANKLIN,H,IN,M,D,7.0,voting,18770127,1825-03-22,1825,1877,52,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
5550,450013759,BLOUNT,JAMES,H,GA,M,D,6.0,voting,18771214,1837-09-12,1837,1877,40,0.0,0,0,0,0,0,0,0,1,9,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,10
4897,450034740,NEAL,HENRY,H,OH,M,R,11.0,voting,18780312,1828-08-25,1828,1878,50,0.0,7,0,1,0,1,1,0,0,0,0,0,0,0.7,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,450053531,ALLISON,WILLIAM,S,IA,M,R,,voting,18780425,1829-03-02,1829,1878,49,0.0,1,0,0,0,1,8,0,9,1,0,0,0,0.05,0.0,0.0,0.0,0.05,0.4,0.0,0.45,0.05,0.0,0.0,0.0,20
4637,450063475,POTTER,CLARKSON,H,NY,M,D,12.0,voting,18780513,1825-04-25,1825,1878,53,0.0,1,0,5,0,0,1,2,0,1,0,0,0,0.1,0.0,0.5,0.0,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,10
4656,450070621,SOUTHARD,MILTON,H,OH,M,D,13.0,voting,18780527,1836-10-20,1836,1878,42,0.0,0,0,9,0,0,1,0,0,0,0,0,0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,450077780,HALE,EUGENE,H,ME,M,R,5.0,voting,18780607,1836-06-09,1836,1878,42,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
4755,450088777,MCGOWAN,JONAS,H,MI,M,R,3.0,voting,18780615,1837-04-02,1837,1878,41,0.0,0,0,0,0,0,0,1,2,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.0,0.0,0.0,10
6669,450095747,FRYE,WILLIAM,H,ME,M,R,2.0,voting,18781211,1830-09-02,1830,1878,48,0.0,0,0,3,6,0,0,1,0,0,0,0,0,0.0,0.0,0.3,0.6,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5138,450095893,EUSTIS,JAMES,S,LA,M,D,,voting,18781212,1834-08-27,1834,1878,44,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
4953,450098799,ANTHONY,HENRY,S,RI,M,R,,voting,18781220,1815-04-01,1815,1878,63,0.0,0,0,0,1,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
4610,450107946,HILL,BENJAMIN,S,GA,M,D,,voting,18790205,1823-09-14,1823,1879,56,0.0,4,0,2,0,1,1,0,1,1,0,0,0,0.4,0.0,0.2,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,10
4967,450109585,BUCKNER,AYLETT,H,MO,M,D,13.0,voting,18790207,1816-12-14,1816,1879,63,0.0,6,0,2,1,0,0,0,1,0,0,0,0,0.6,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
5007,450116341,HASKELL,DUDLEY,H,KS,M,R,2.0,voting,18790218,1842-03-23,1842,1879,37,0.0,1,0,0,0,0,4,0,1,4,0,0,0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.4,0.0,0.0,0.0,10
4957,450118530,BISBEE,HORATIO,H,FL,M,R,2.0,voting,18790220,1839-05-01,1839,1879,40,0.0,0,1,0,0,0,8,1,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,10
6287,450133474,BLACKBURN,JOSEPH,H,KY,M,D,7.0,voting,18790303,1838-10-01,1838,1879,41,0.0,6,0,0,1,0,1,2,0,0,0,0,0,0.6,0.0,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,10
4843,460008841,FROST,RICHARD,H,MO,M,D,3.0,voting,18790421,1851-12-29,1851,1879,28,0.0,0,0,1,0,0,1,0,4,4,0,0,0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.4,0.4,0.0,0.0,0.0,10
5695,460009843,BELTZHOOVER,FRANK,H,PA,M,D,19.0,voting,18790423,1841-11-06,1841,1879,38,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10
4936,460018392,URNER,MILTON,H,MD,M,R,6.0,voting,18790517,1839-07-29,1839,1879,40,0.0,1,0,8,1,0,0,0,0,0,0,0,0,0.1,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6184,460028894,BLAND,RICHARD,H,MO,M,D,5.0,voting,18790611,1835-08-19,1835,1879,44,0.0,0,0,1,1,0,8,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
4967,460032232,BUCKNER,AYLETT,H,MO,M,D,13.0,voting,18790616,1816-12-14,1816,1879,63,0.0,0,0,0,0,0,3,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,10
5367,460065613,BECK,JAMES,S,KY,M,D,,voting,18800312,1822-02-13,1822,1880,58,0.0,1,0,0,1,0,0,0,0,8,0,0,0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,10
6352,460076398,MORGAN,JOHN,S,AL,M,D,,voting,18800405,1824-06-20,1824,1880,56,0.0,0,0,4,1,1,3,1,0,0,0,0,0,0.0,0.0,0.4,0.1,0.1,0.3,0.1,0.0,0.0,0.0,0.0,0.0,10
4915,460079551,ROBESON,GEORGE,H,NJ,M,R,1.0,voting,18800410,1829-03-16,1829,1880,51,0.0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,460098985,CONGER,OMAR,H,MI,M,R,7.0,voting,18800513,1818-04-01,1818,1880,62,0.0,3,0,1,0,0,3,2,0,1,0,0,0,0.3,0.0,0.1,0.0,0.0,0.3,0.2,0.0,0.1,0.0,0.0,0.0,10
6157,460152373,UPDEGRAFF,THOMAS,H,IA,M,R,3.0,voting,18810212,1834-04-03,1834,1881,47,0.0,0,0,0,3,0,2,0,0,13,0,0,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.7222222222222222,0.0,0.0,0.0,18
