speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_8,cluster_13,cluster_3,cluster_7,cluster_10,cluster_4,cluster_2,cluster_11,cluster_6,cluster_14,cluster_5,cluster_1,cluster_18,cluster_16,cluster_0,cluster_9,cluster_12,cluster_17,cluster_15,cluster_8_p,cluster_13_p,cluster_3_p,cluster_7_p,cluster_10_p,cluster_4_p,cluster_2_p,cluster_11_p,cluster_6_p,cluster_14_p,cluster_5_p,cluster_1_p,cluster_18_p,cluster_16_p,cluster_0_p,cluster_9_p,cluster_12_p,cluster_17_p,cluster_15_p,n
6669,430067005,FRYE,WILLIAM,H,ME,M,R,2.0,voting,18740609,1830-09-02,1830,1874,44,43066690,2.1470712873989823e-16,7,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4285,430068829,KELLOGG,STEPHEN,H,CT,M,R,2.0,voting,18740612,1822-04-05,1822,1874,52,43042850,0.0,0,0,0,0,1,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.6,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5024,440101016,KASSON,JOHN,H,IA,M,R,7.0,voting,18770212,1822-01-11,1822,1877,55,44050240,0.0,2,0,1,2,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.1,0.2,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4629,450027540,MATTHEWS,STANLEY,S,OH,M,R,,voting,18780220,1824-07-21,1824,1878,54,45046291,0.0,6,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6287,450113078,BLACKBURN,JOSEPH,H,KY,M,D,7.0,voting,18790214,1838-10-01,1838,1879,41,45062870,1.7774292951016731e-09,2,0,0,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.4,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,450116161,BUTLER,BENJAMIN,H,MA,M,R,7.0,voting,18790218,1818-11-05,1818,1879,61,45045660,0.0,5,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,450133958,CONGER,OMAR,H,MI,M,R,7.0,voting,18790303,1818-04-01,1818,1879,61,45048220,6.551019446207475e-11,7,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6806,460000619,KEIFER,JOSEPH,H,OH,M,R,4.0,voting,18790320,1836-01-30,1836,1879,43,46068060,0.0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4756,460000634,MCMAHON,JOHN,H,OH,M,D,3.0,voting,18790321,1833-02-19,1833,1879,46,46047560,0.0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
4686,460009176,BAILEY,JOHN,H,NY,M,R,16.0,voting,18790422,1838-08-24,1838,1879,41,46046860,0.0,4,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
