speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_4,cluster_5,cluster_1,cluster_2,cluster_13,cluster_15,cluster_7,cluster_8,cluster_14,cluster_9,cluster_6,cluster_20,cluster_3,cluster_16,cluster_11,cluster_19,cluster_18,cluster_12,cluster_0,cluster_17,cluster_10,cluster_4_p,cluster_5_p,cluster_1_p,cluster_2_p,cluster_13_p,cluster_15_p,cluster_7_p,cluster_8_p,cluster_14_p,cluster_9_p,cluster_6_p,cluster_20_p,cluster_3_p,cluster_16_p,cluster_11_p,cluster_19_p,cluster_18_p,cluster_12_p,cluster_0_p,cluster_17_p,cluster_10_p,n
4038,430001828,STOCKTON,JOHN,S,NJ,M,D,,voting,18730325,1826-08-02,1826,1873,47,0.0,2,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4255,430036616,DONNAN,WILLIAM,H,IA,M,R,3.0,voting,18740402,1834-06-30,1834,1874,40,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430045992,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740423,1831-11-19,1831,1874,43,0.0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430054459,SHERMAN,JOHN,S,OH,M,R,,voting,18740515,1823-05-10,1823,1874,51,3.5165158862025974e-11,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,430097993,STEWART,WILLIAM,S,NV,M,R,,voting,18750210,1827-08-09,1827,1875,48,0.0,3,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.3,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5024,440022949,KASSON,JOHN,H,IA,M,R,7.0,voting,18760324,1822-01-11,1822,1876,54,0.0,2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4669,440027081,WADDELL,ALFRED,H,NC,M,D,3.0,voting,18760404,1834-09-16,1834,1876,42,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4521,440034642,TOWNSEND,WASHINGTON,H,PA,M,R,6.0,voting,18760426,1813-01-20,1813,1876,63,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4311,440040076,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18760523,1830-09-15,1830,1876,46,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4591,450032988,FOSTER,CHARLES,H,OH,M,R,10.0,voting,18780307,1828-04-12,1828,1878,50,0.0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4687,450033015,BAKER,JOHN,H,IN,M,R,13.0,voting,18780307,1832-02-28,1832,1878,46,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,450034784,SARGENT,AARON,S,CA,M,R,,voting,18780313,1827-09-28,1827,1878,51,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5115,450056812,BRAGG,EDWARD,H,WI,M,D,5.0,voting,18780501,1827-02-20,1827,1878,51,0.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
