speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_5,cluster_2,cluster_3,cluster_1,cluster_0,cluster_6,cluster_8,cluster_4,cluster_9,cluster_7,cluster_10,cluster_5_p,cluster_2_p,cluster_3_p,cluster_1_p,cluster_0_p,cluster_6_p,cluster_8_p,cluster_4_p,cluster_9_p,cluster_7_p,cluster_10_p,n
4190,430001843,STEVENSON,JOHN,S,KY,M,D,,voting,18730325,1812-05-04,1812,1873,61,0.0,0,1,0,17,2,0,0,0,0,0,0,0.0,0.05,0.0,0.85,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20
4589,430002785,FERRY,THOMAS,S,MI,M,R,,voting,18731204,1827-06-10,1827,1873,46,0.0,0,0,0,8,2,0,0,0,0,0,0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
4947,430006249,WOOD,FERNANDO,H,NY,M,D,10.0,voting,18731218,1812-06-14,1812,1873,61,0.0,0,1,0,9,0,0,0,0,0,0,0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430007300,FLANAGAN,JAMES,S,TX,M,R,,voting,18740106,1805-09-05,1805,1874,69,0.0,0,0,1,8,1,0,0,0,0,0,0,0.0,0.0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4275,430007408,HERNDON,WILLIAM,H,TX,M,D,1.0,voting,18740106,1835-11-27,1835,1874,39,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,430007617,STEVENSON,JOHN,S,KY,M,D,,voting,18740107,1812-05-04,1812,1874,62,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,430010849,STEVENSON,JOHN,S,KY,M,D,,voting,18740116,1812-05-04,1812,1874,62,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4521,430011325,TOWNSEND,WASHINGTON,H,PA,M,R,7.0,voting,18740117,1813-01-20,1813,1874,61,0.0,2,0,0,3,0,0,5,0,0,0,0,0.2,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.0,0.0,10
4380,430011785,WARD,JASPER,H,IL,M,R,2.0,voting,18740120,1829-02-01,1829,1874,45,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,430012574,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18740122,1818-11-05,1818,1874,56,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4038,430017462,STOCKTON,JOHN,S,NJ,M,D,,voting,18740205,1826-08-02,1826,1874,48,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430024473,MORRILL,LOT,S,ME,M,R,,voting,18740224,1813-05-03,1813,1874,61,4.216599590154788e-10,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430024475,MORRILL,LOT,S,ME,M,R,,voting,18740224,1813-05-03,1813,1874,61,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4273,430029086,HAZELTON,GERRY,H,WI,M,R,2.0,voting,18740314,1829-02-24,1829,1874,45,0.0,0,0,2,8,0,0,0,0,0,0,0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430030402,SARGENT,AARON,S,CA,M,R,,voting,18740319,1827-09-28,1827,1874,47,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,430032356,STEVENSON,JOHN,S,KY,M,D,,voting,18740324,1812-05-04,1812,1874,62,0.0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
4314,430040021,MORTON,OLIVER,S,IN,M,R,,voting,18740410,1823-08-04,1823,1874,51,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6554,430040462,HALE,EUGENE,H,ME,M,R,5.0,voting,18740411,1836-06-09,1836,1874,38,1.2506828616351e-14,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10
6262,430042627,STEWART,WILLIAM,S,NV,M,R,,voting,18740416,1827-08-09,1827,1874,47,0.0,0,1,1,5,1,1,1,0,0,0,0,0.0,0.1,0.1,0.5,0.1,0.1,0.1,0.0,0.0,0.0,0.0,10
6262,430042631,STEWART,WILLIAM,S,NV,M,R,,voting,18740416,1827-08-09,1827,1874,47,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4489,430046083,PACKER,JOHN,H,PA,M,R,14.0,voting,18740423,1824-03-21,1824,1874,50,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4316,430046798,NESMITH,JAMES,H,OR,M,D,1.0,voting,18740425,1820-07-23,1820,1874,54,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430052555,CONKLING,ROSCOE,S,NY,M,R,,voting,18740512,1829-10-30,1829,1874,45,0.0,0,1,1,6,0,2,0,0,0,0,0,0.0,0.1,0.1,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
6554,430062647,HALE,EUGENE,H,ME,M,R,5.0,voting,18740601,1836-06-09,1836,1874,38,0.0,0,0,0,17,2,1,0,0,0,0,0,0.0,0.0,0.0,0.85,0.1,0.05,0.0,0.0,0.0,0.0,0.0,20
6262,430067208,STEWART,WILLIAM,S,NV,M,R,,voting,18740610,1827-08-09,1827,1874,47,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430074374,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740619,1831-11-19,1831,1874,43,0.0,0,0,4,6,0,0,0,0,0,0,0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430078678,SHERMAN,JOHN,S,OH,M,R,,voting,18740623,1823-05-10,1823,1874,51,0.0,0,0,2,6,1,0,1,0,0,0,0,0.0,0.0,0.2,0.6,0.1,0.0,0.1,0.0,0.0,0.0,0.0,10
5399,430094306,COX,SAMUEL,H,NY,M,D,6.0,voting,18750201,1824-09-30,1824,1875,51,0.0,0,0,1,9,0,0,0,0,0,0,0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430100631,SARGENT,AARON,S,CA,M,R,,voting,18750215,1827-09-28,1827,1875,48,0.0,0,4,4,20,4,7,1,0,0,0,0,0.0,0.1,0.1,0.5,0.1,0.175,0.025,0.0,0.0,0.0,0.0,40
4953,430106782,ANTHONY,HENRY,S,RI,M,R,,voting,18750224,1815-04-01,1815,1875,60,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,440009805,STEVENSON,JOHN,S,KY,M,D,,voting,18760207,1812-05-04,1812,1876,64,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5412,440017503,DUNNELL,MARK,H,MN,M,R,1.0,voting,18760307,1823-07-02,1823,1876,53,0.0,0,2,0,7,0,1,0,0,0,0,0,0.0,0.2,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4190,440021337,STEVENSON,JOHN,S,KY,M,D,,voting,18760321,1812-05-04,1812,1876,64,0.0,2,0,1,0,1,1,5,0,0,0,0,0.2,0.0,0.1,0.0,0.1,0.1,0.5,0.0,0.0,0.0,0.0,10
4162,440023415,MORRILL,LOT,S,ME,M,R,,voting,18760327,1813-05-03,1813,1876,63,0.0,0,0,2,12,5,0,1,0,0,0,0,0.0,0.0,0.1,0.6,0.25,0.0,0.05,0.0,0.0,0.0,0.0,20
5399,440024025,COX,SAMUEL,H,NY,M,D,6.0,voting,18760329,1824-09-30,1824,1876,52,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,440029090,MORRILL,LOT,S,ME,M,R,,voting,18760411,1813-05-03,1813,1876,63,0.0,4,0,1,2,0,3,0,0,0,0,0,0.4,0.0,0.1,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0.0,10
4822,440029210,CONGER,OMAR,H,MI,M,R,7.0,voting,18760411,1818-04-01,1818,1876,58,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,440029224,CONGER,OMAR,H,MI,M,R,7.0,voting,18760411,1818-04-01,1818,1876,58,0.0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4822,440029249,CONGER,OMAR,H,MI,M,R,7.0,voting,18760411,1818-04-01,1818,1876,58,2.591512043694114e-09,0,0,0,4,1,0,5,0,0,0,0,0.0,0.0,0.0,0.4,0.1,0.0,0.5,0.0,0.0,0.0,0.0,10
4342,440029591,SARGENT,AARON,S,CA,M,R,,voting,18760412,1827-09-28,1827,1876,49,0.0,1,0,0,7,2,0,0,0,0,0,0,0.1,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
