speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_0,cluster_8,cluster_3,cluster_4,cluster_5,cluster_12,cluster_9,cluster_6,cluster_14,cluster_17,cluster_11,cluster_10,cluster_1,cluster_7,cluster_16,cluster_13,cluster_15,cluster_2_p,cluster_0_p,cluster_8_p,cluster_3_p,cluster_4_p,cluster_5_p,cluster_12_p,cluster_9_p,cluster_6_p,cluster_14_p,cluster_17_p,cluster_11_p,cluster_10_p,cluster_1_p,cluster_7_p,cluster_16_p,cluster_13_p,cluster_15_p,n
4091,430000783,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730314,1830-03-01,1830,1873,43,43040911,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4711,430001142,CONKLING,ROSCOE,S,NY,M,R,,voting,18730319,1829-10-30,1829,1873,44,43047111,0.0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4734,430007180,HARRIS,JOHN,H,VA,M,D,7.0,voting,18740105,1823-05-08,1823,1874,51,43047340,0.0,10,3,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5263157894736842,0.15789473684210525,0.05263157894736842,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
4734,430007186,HARRIS,JOHN,H,VA,M,D,7.0,voting,18740105,1823-05-08,1823,1874,51,43047340,0.0,8,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42105263157894735,0.05263157894736842,0.3684210526315789,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
4583,430007391,DURHAM,MILTON,H,KY,M,D,8.0,voting,18740106,1824-05-16,1824,1874,50,43045830,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,430028444,BECK,JAMES,H,KY,M,D,7.0,voting,18740307,1822-02-13,1822,1874,52,43053670,0.0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4822,430043365,CONGER,OMAR,H,MI,M,R,7.0,voting,18740417,1818-04-01,1818,1874,56,43048220,0.0,15,16,0,2,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0.38461538461538464,0.41025641025641024,0.0,0.05128205128205128,0.02564102564102564,0.10256410256410256,0.0,0.0,0.02564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
4800,430043366,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740417,1831-11-19,1831,1874,43,43048000,0.0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4615,430045256,JOHNSTON,JOHN,S,VA,M,D,,voting,18740422,1818-09-09,1818,1874,56,43046151,2.264523133208761e-05,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4615,430045294,JOHNSTON,JOHN,S,VA,M,D,,voting,18740422,1818-09-09,1818,1874,56,43046151,0.0,15,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8333333333333334,0.05555555555555555,0.0,0.0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5268,430060886,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740528,1828-02-01,1828,1874,46,43052681,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4520,430077437,THURMAN,ALLEN,S,OH,M,D,,voting,18740622,1813-11-13,1813,1874,61,43045201,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4989,440001046,EATON,WILLIAM,S,CT,M,D,,voting,18750320,1816-10-11,1816,1875,59,44049891,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4643,440020441,REA,DAVID,H,MO,M,D,9.0,voting,18760316,1831-01-19,1831,1876,45,44046430,0.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4967,440033753,BUCKNER,AYLETT,H,MO,M,D,13.0,voting,18760424,1816-12-14,1816,1876,60,44049670,0.0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4492,440036624,PIPER,WILLIAM,H,CA,M,D,1.0,voting,18760503,1826-05-21,1826,1876,50,44044920,0.0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4849,440036990,HARDENBERGH,AUGUSTUS,H,NJ,M,D,7.0,voting,18760505,1830-05-18,1830,1876,46,44048490,0.0,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,0.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4858,440039388,HOUSE,JOHN,H,TN,M,D,6.0,voting,18760518,1827-01-09,1827,1876,49,44048580,0.0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5164,440049919,INGALLS,JOHN,S,KS,M,R,,voting,18760621,1833-12-29,1833,1876,43,44051641,0.0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4311,440049924,MERRIMON,AUGUSTUS,S,NC,M,D,,voting,18760621,1830-09-15,1830,1876,46,44043111,0.0,8,11,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17777777777777778,0.24444444444444444,0.08888888888888889,0.4888888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45
4801,440064128,WINDOM,WILLIAM,S,MN,M,R,,voting,18760718,1827-05-10,1827,1876,49,44048011,0.0,7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,9
4989,440073289,EATON,WILLIAM,S,CT,M,D,,voting,18760807,1816-10-11,1816,1876,60,44049891,0.0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4656,440104241,SOUTHARD,MILTON,H,OH,M,D,13.0,voting,18770220,1836-10-20,1836,1877,41,44046560,0.0,2,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.3,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4704,450004680,CHITTENDEN,SIMEON,H,NY,M,R,3.0,voting,18771113,1814-03-29,1814,1877,63,45047040,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
7544,450005575,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18771116,1836-05-07,1836,1877,41,45075440,0.0,0,0,6,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7544,450005576,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18771116,1836-05-07,1836,1877,41,45075440,0.0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6196,450017435,COCKRELL,FRANCIS,S,MO,M,D,,voting,18780123,1834-10-01,1834,1878,44,45061961,0.0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5367,450020619,BECK,JAMES,S,KY,M,D,,voting,18780204,1822-02-13,1822,1878,56,45053671,0.0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4989,450020812,EATON,WILLIAM,S,CT,M,D,,voting,18780205,1816-10-11,1816,1878,62,45049891,0.0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6100,450023977,JONES,JOHN,S,NV,M,R,,voting,18780214,1829-01-27,1829,1878,49,45061001,0.0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39
4786,450028293,STEELE,WALTER,H,NC,M,D,6.0,voting,18780221,1823-04-18,1823,1878,55,45047860,0.0,0,10,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4427,450036856,CHRISTIANCY,ISAAC,S,MI,M,R,,voting,18780318,1812-03-12,1812,1878,66,45044271,0.0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5264,450042701,DAWES,HENRY,S,MA,M,R,,voting,18780403,1816-10-30,1816,1878,62,45052641,0.0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4589,450057288,FERRY,THOMAS,S,MI,M,R,,voting,18780502,1827-06-10,1827,1878,51,45045891,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5596,450059071,GORDON,JOHN,S,GA,M,D,,voting,18780506,1832-02-06,1832,1878,46,45055961,0.0,0,4,20,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.13333333333333333,0.6666666666666666,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
4520,450065924,THURMAN,ALLEN,S,OH,M,D,,voting,18780520,1813-11-13,1813,1878,65,45045201,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4546,450066162,BLAINE,JAMES,S,ME,M,R,,voting,18780521,1830-01-31,1830,1878,48,45045461,0.0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,450066163,THURMAN,ALLEN,S,OH,M,D,,voting,18780521,1813-11-13,1813,1878,65,45045201,0.0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
