speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_0,cluster_11,cluster_12,cluster_5,cluster_1,cluster_16,cluster_13,cluster_8,cluster_3,cluster_7,cluster_4,cluster_6,cluster_14,cluster_9,cluster_10,cluster_15,cluster_2_p,cluster_0_p,cluster_11_p,cluster_12_p,cluster_5_p,cluster_1_p,cluster_16_p,cluster_13_p,cluster_8_p,cluster_3_p,cluster_7_p,cluster_4_p,cluster_6_p,cluster_14_p,cluster_9_p,cluster_10_p,cluster_15_p,n
4214,430014525,ALBRIGHT,CHARLES,H,PA,M,R,-1.0,voting,18740128,1830-12-13,1830,1874,44,43042140,0.0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.1,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4266,430020142,GUNCKEL,LEWIS,H,OH,M,R,4.0,voting,18740211,1826-10-15,1826,1874,48,43042660,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4239,430025031,COBB,STEPHEN,H,KS,M,R,-1.0,voting,18740225,1833-06-17,1833,1874,41,43042390,0.0,1,1,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4584,430049239,EAMES,BENJAMIN,H,RI,M,R,1.0,voting,18740502,1818-06-04,1818,1874,56,43045840,0.0,1,0,0,0,1,1,0,0,0,0,0,7,0,0,0,0,0,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,10
4566,430049284,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18740502,1818-11-05,1818,1874,56,43045660,0.0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.5555555555555556,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4711,430050489,CONKLING,ROSCOE,S,NY,M,R,,voting,18740507,1829-10-30,1829,1874,45,43047111,0.0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4301,430087127,MAYNARD,HORACE,H,TN,M,R,-1.0,voting,18750115,1814-08-30,1814,1875,61,43043010,0.0,1,5,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0.1,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4397,430090656,PEASE,HENRY,S,MS,M,R,,voting,18750126,1835-02-19,1835,1875,40,43043971,0.0,1,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.1,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4383,430095296,WHITEHEAD,THOMAS,H,VA,M,D,6.0,voting,18750203,1825-12-27,1825,1875,50,43043830,0.0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4102,430096955,CRAGIN,AARON,S,NH,M,R,,voting,18750208,1821-02-03,1821,1875,54,43041021,0.0,1,0,0,0,0,2,1,0,5,0,0,0,1,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4725,440020263,FELTON,WILLIAM,H,GA,M,I,7.0,voting,18760315,1823-06-19,1823,1876,53,44047250,0.0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6125,440046898,MORRILL,JUSTIN,S,VT,M,R,,voting,18760610,1810-04-14,1810,1876,66,44061251,0.0,0,0,0,0,2,0,4,1,1,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.1,0.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
5027,440093696,LAMAR,LUCIUS,H,MS,M,D,1.0,voting,18770126,1825-09-17,1825,1877,52,44050270,0.0,0,1,0,2,0,2,3,1,0,0,0,0,1,0,0,0,0,0.0,0.1,0.0,0.2,0.0,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4700,450018868,BRIGHT,JOHN,H,TN,M,D,5.0,voting,18780126,1817-01-20,1817,1878,61,45047000,0.0,2,1,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0.2,0.1,0.0,0.1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
