speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_9,cluster_8,cluster_14,cluster_12,cluster_11,cluster_7,cluster_4,cluster_13,cluster_1,cluster_15,cluster_6,cluster_10,cluster_3,cluster_0,cluster_2,cluster_5,cluster_9_p,cluster_8_p,cluster_14_p,cluster_12_p,cluster_11_p,cluster_7_p,cluster_4_p,cluster_13_p,cluster_1_p,cluster_15_p,cluster_6_p,cluster_10_p,cluster_3_p,cluster_0_p,cluster_2_p,cluster_5_p,n
4091,430000358,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730310,1830-03-01,1830,1873,43,43040911,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
4566,430009478,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18740113,1818-11-05,1818,1874,56,43045660,0.0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,10
5434,430015763,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740131,1814-04-12,1814,1874,60,43054340,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,10
5367,430019539,BECK,JAMES,H,KY,M,D,7.0,voting,18740210,1822-02-13,1822,1874,52,43053670,0.0,0,3,0,0,0,1,2,0,1,1,1,0,0,0,1,0,0.0,0.3,0.0,0.0,0.0,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,10
5133,430021073,EDEN,JOHN,H,IL,M,D,15.0,voting,18740214,1826-02-01,1826,1874,48,43051330,0.0,1,0,0,0,0,0,6,0,0,0,1,1,0,0,1,0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,10
4386,430024671,WILLARD,CHARLES,H,VT,M,R,1.0,voting,18740224,1827-06-18,1827,1874,47,43043860,0.0,1,2,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4653,430027529,SAYLER,MILTON,H,OH,M,D,1.0,voting,18740304,1831-11-04,1831,1874,43,43046530,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
4281,430028114,HOWE,TIMOTHY,S,WI,M,R,,voting,18740306,1816-02-24,1816,1874,58,43042811,0.0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,10
5367,430028459,BECK,JAMES,H,KY,M,D,7.0,voting,18740307,1822-02-13,1822,1874,52,43053670,0.0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430028844,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740310,1831-11-19,1831,1874,43,43048000,0.0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
4015,430036296,PRATT,DANIEL,S,IN,M,R,,voting,18740402,1813-10-26,1813,1874,61,43040151,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
5367,430039125,BECK,JAMES,H,KY,M,D,7.0,voting,18740408,1822-02-13,1822,1874,52,43053670,0.0,4,0,1,2,0,0,10,1,1,0,0,1,0,0,0,0,0.2,0.0,0.05,0.1,0.0,0.0,0.5,0.05,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,20
5367,430043593,BECK,JAMES,H,KY,M,D,7.0,voting,18740417,1822-02-13,1822,1874,52,43053670,0.0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4269,430055030,HALE,ROBERT,H,NY,M,R,17.0,voting,18740515,1822-09-24,1822,1874,52,43042690,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
5175,430057367,LOGAN,JOHN,S,IL,M,R,,voting,18740521,1826-02-09,1826,1874,48,43051751,0.0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4338,430060031,ROBERTS,ELLIS,H,NY,M,R,22.0,voting,18740527,1827-09-30,1827,1874,47,43043380,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
4015,430061673,PRATT,DANIEL,S,IN,M,R,,voting,18740529,1813-10-26,1813,1874,61,43040151,0.0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,10
4340,430067044,ROBINSON,JAMES,H,IL,M,D,12.0,voting,18740609,1823-08-19,1823,1874,51,43043400,0.0,0,0,0,0,1,1,5,0,1,0,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.1,0.1,0.5,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,10
4566,430074546,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18740619,1818-11-05,1818,1874,56,43045660,0.0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,10
4520,430091277,THURMAN,ALLEN,S,OH,M,D,,voting,18750127,1813-11-13,1813,1875,62,43045201,0.0,0,0,0,0,0,0,4,0,0,0,5,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.5,0.0,0.0,0.1,0.0,0.0,10
5367,430098874,BECK,JAMES,H,KY,M,D,7.0,voting,18750211,1822-02-13,1822,1875,53,43053670,0.0,1,1,3,0,0,0,2,0,0,0,1,0,1,1,0,0,0.1,0.1,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.0,0.0,10
5186,440002436,MORRISON,WILLIAM,H,IL,M,D,17.0,voting,18760105,1824-09-14,1824,1876,52,44051860,0.0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,10
4528,440003439,WALLACE,WILLIAM,S,PA,M,D,,voting,18760112,1827-11-28,1827,1876,49,44045281,0.0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
4226,440004940,BOUTWELL,GEORGE,S,MA,M,R,,voting,18760118,1818-01-28,1818,1876,58,44042261,0.0,0,0,0,0,0,0,0,0,1,0,7,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.7,0.0,0.1,0.1,0.0,0.0,10
4404,440010864,BAGBY,JOHN,H,IL,M,D,10.0,voting,18760211,1819-01-24,1819,1876,57,44044040,2.946937561507474e-07,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
4579,440011567,DAVIS,HENRY,S,WV,M,D,,voting,18760215,1823-11-16,1823,1876,53,44045791,0.0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,10
4579,440011573,DAVIS,HENRY,S,WV,M,D,,voting,18760215,1823-11-16,1823,1876,53,44045791,0.0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,10
