speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_0,cluster_1,cluster_10,cluster_8,cluster_7,cluster_3,cluster_14,cluster_6,cluster_12,cluster_4,cluster_9,cluster_11,cluster_5,cluster_13,cluster_15,cluster_2_p,cluster_0_p,cluster_1_p,cluster_10_p,cluster_8_p,cluster_7_p,cluster_3_p,cluster_14_p,cluster_6_p,cluster_12_p,cluster_4_p,cluster_9_p,cluster_11_p,cluster_5_p,cluster_13_p,cluster_15_p,n
4801,430001978,WINDOM,WILLIAM,S,MN,M,R,,voting,18730326,1827-05-10,1827,1873,46,43048011,0.0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4210,430003109,WRIGHT,GEORGE,S,IA,M,R,,voting,18731208,1820-03-24,1820,1873,53,43042101,0.0,5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0.5,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430010866,SHERMAN,JOHN,S,OH,M,R,,voting,18740116,1823-05-10,1823,1874,51,43058411,0.0,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4285,430015752,KELLOGG,STEPHEN,H,CT,M,R,2.0,voting,18740131,1822-04-05,1822,1874,52,43042850,0.0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430016835,THURMAN,ALLEN,S,OH,M,D,,voting,18740204,1813-11-13,1813,1874,61,43045201,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4511,430020144,STARKWEATHER,HENRY,H,CT,M,R,3.0,voting,18740211,1826-04-29,1826,1874,48,43045110,0.0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4511,430020507,STARKWEATHER,HENRY,H,CT,M,R,3.0,voting,18740212,1826-04-29,1826,1874,48,43045110,0.0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4065,430021168,FLANAGAN,JAMES,S,TX,M,R,,voting,18740216,1805-09-05,1805,1874,69,43040651,0.0,1,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4026,430024947,SCHURZ,CARL,S,MO,M,L,,voting,18740225,1829-03-02,1829,1874,45,43040261,0.0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5485,430025590,RANDALL,SAMUEL,H,PA,M,D,1.0,voting,18740226,1828-10-10,1828,1874,46,43054850,0.0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4342,430028188,SARGENT,AARON,S,CA,M,R,,voting,18740306,1827-09-28,1827,1874,47,43043421,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4392,430030077,WOLFE,SIMEON,H,IN,M,D,2.0,voting,18740318,1824-02-14,1824,1874,50,43043920,0.0,4,10,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0.21052631578947367,0.5263157894736842,0.10526315789473684,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
6220,430036063,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18740401,1826-10-31,1826,1874,48,43062200,0.0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4521,430039117,TOWNSEND,WASHINGTON,H,PA,M,R,7.0,voting,18740408,1813-01-20,1813,1874,61,43045210,0.0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4266,430050358,GUNCKEL,LEWIS,H,OH,M,R,4.0,voting,18740506,1826-10-15,1826,1874,48,43042660,0.0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4656,430056747,SOUTHARD,MILTON,H,OH,M,D,13.0,voting,18740519,1836-10-20,1836,1874,38,43046560,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4266,430058529,GUNCKEL,LEWIS,H,OH,M,R,4.0,voting,18740523,1826-10-15,1826,1874,48,43042660,5.488996330696582e-07,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4332,430067049,RAPIER,JAMES,H,AL,M,R,2.0,voting,18740609,1837-11-13,1837,1874,37,43043320,0.0,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.9,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4520,430067947,THURMAN,ALLEN,S,OH,M,D,,voting,18740611,1813-11-13,1813,1874,61,43045201,0.0,1,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4285,430068515,KELLOGG,STEPHEN,H,CT,M,R,2.0,voting,18740611,1822-04-05,1822,1874,52,43042850,0.0,5,28,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0.13157894736842105,0.7368421052631579,0.07894736842105263,0.02631578947368421,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38
4393,430068526,WOODFORD,STEWART,H,NY,M,R,3.0,voting,18740611,1835-09-03,1835,1874,39,43043930,0.0,1,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6220,430068556,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18740611,1826-10-31,1826,1874,48,43062200,0.0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4386,430068571,WILLARD,CHARLES,H,VT,M,R,1.0,voting,18740611,1827-06-18,1827,1874,47,43043860,0.0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430068675,SARGENT,AARON,S,CA,M,R,,voting,18740612,1827-09-28,1827,1874,47,43043421,0.0,8,27,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.21621621621621623,0.7297297297297297,0.02702702702702703,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37
6262,430068710,STEWART,WILLIAM,S,NV,M,R,,voting,18740612,1827-08-09,1827,1874,47,43062621,0.0,2,15,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0.75,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4268,430068722,HAGER,JOHN,S,CA,M,D,,voting,18740612,1818-03-12,1818,1874,56,43042681,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5268,430069439,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740613,1828-02-01,1828,1874,46,43052681,0.0,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430071311,MORRILL,LOT,S,ME,M,R,,voting,18740616,1813-05-03,1813,1874,61,43041621,0.0,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.8947368421052632,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
5399,430076482,COX,SAMUEL,H,NY,M,D,6.0,voting,18740620,1824-09-30,1824,1874,50,43053990,0.0,1,14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.7368421052631579,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
5175,430078587,LOGAN,JOHN,S,IL,M,R,,voting,18740623,1826-02-09,1826,1874,48,43051751,0.0,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
