speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_5,cluster_1,cluster_13,cluster_0,cluster_3,cluster_2,cluster_15,cluster_7,cluster_14,cluster_11,cluster_8,cluster_4,cluster_16,cluster_6,cluster_9,cluster_12,cluster_10,cluster_5_p,cluster_1_p,cluster_13_p,cluster_0_p,cluster_3_p,cluster_2_p,cluster_15_p,cluster_7_p,cluster_14_p,cluster_11_p,cluster_8_p,cluster_4_p,cluster_16_p,cluster_6_p,cluster_9_p,cluster_12_p,cluster_10_p,n
6125,430002478,MORRILL,JUSTIN,S,VT,M,R,,voting,18731203,1810-04-14,1810,1873,63,0.0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4711,430049780,CONKLING,ROSCOE,S,NY,M,R,,voting,18740505,1829-10-30,1829,1874,45,0.0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4240,430110831,COBURN,JOHN,H,IN,M,R,5.0,voting,18750226,1825-10-27,1825,1875,50,0.0,1,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7544,430111543,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18750227,1836-05-07,1836,1875,39,0.0,0,1,1,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.1,0.1,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5596,440018748,GORDON,JOHN,S,GA,M,D,,voting,18760309,1832-02-06,1832,1876,44,0.0,1,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,440043262,COX,SAMUEL,H,NY,M,D,6.0,voting,18760603,1824-09-30,1824,1876,52,0.0,4,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
6348,450011932,MITCHELL,JOHN,S,OR,M,R,,voting,18771207,1835-06-22,1835,1877,42,0.0,1,0,1,0,5,0,0,1,0,1,0,1,0,0,0,0,0,0.1,0.0,0.1,0.0,0.5,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4612,450016912,HUNTER,MORTON,H,IN,M,R,8.0,voting,18780118,1825-02-05,1825,1878,53,0.0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5164,450060052,INGALLS,JOHN,S,KS,M,R,,voting,18780507,1833-12-29,1833,1878,45,0.0,3,3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.3,0.3,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4546,450095848,BLAINE,JAMES,S,ME,M,R,,voting,18781212,1830-01-31,1830,1878,48,0.0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,450100029,CONKLING,ROSCOE,S,NY,M,R,,voting,18790115,1829-10-30,1829,1879,50,0.0,2,2,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0.2,0.2,0.1,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
4711,450102086,CONKLING,ROSCOE,S,NY,M,R,,voting,18790121,1829-10-30,1829,1879,50,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10
4408,450112094,BOOTH,NEWTON,S,CA,M,R,,voting,18790213,1825-12-30,1825,1879,54,0.0,0,0,3,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.5,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5062,460050983,ROBINSON,GEORGE,H,MA,M,R,11.0,voting,18800129,1834-01-20,1834,1880,46,8.368501232882726e-10,1,1,2,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.1,0.1,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5146,460091342,GEDDES,GEORGE,H,OH,M,D,15.0,voting,18800429,1824-07-16,1824,1880,56,3.6755324299207796e-08,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4985,460113788,DIBRELL,GEORGE,H,TN,M,D,3.0,voting,18800602,1822-04-12,1822,1880,58,0.0,0,5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.5,0.1,0.0,0.3,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,460123941,CONKLING,ROSCOE,S,NY,M,R,,voting,18800615,1829-10-30,1829,1880,51,0.0,2,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,10
4528,460150848,WALLACE,WILLIAM,S,PA,M,D,,voting,18810211,1827-11-28,1827,1881,54,0.0,0,3,2,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.3,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
5105,460158292,AIKEN,DAVID,H,SC,M,D,3.0,voting,18810219,1828-03-17,1828,1881,53,0.0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
