speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_3,cluster_1,cluster_7,cluster_9,cluster_6,cluster_0,cluster_8,cluster_15,cluster_10,cluster_13,cluster_4,cluster_14,cluster_5,cluster_2,cluster_16,cluster_11,cluster_12,cluster_3_p,cluster_1_p,cluster_7_p,cluster_9_p,cluster_6_p,cluster_0_p,cluster_8_p,cluster_15_p,cluster_10_p,cluster_13_p,cluster_4_p,cluster_14_p,cluster_5_p,cluster_2_p,cluster_16_p,cluster_11_p,cluster_12_p,n
4015,430000844,PRATT,DANIEL,S,IN,M,R,,voting,18730317,1813-10-26,1813,1873,60,43040151,0.0,0,3,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0.0,0.3,0.0,0.0,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
4364,430004075,SPEER,ROBERT,H,PA,M,D,17.0,voting,18731211,1838-09-08,1838,1873,35,43043640,0.0,1,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4015,430004634,PRATT,DANIEL,S,IN,M,R,,voting,18731215,1813-10-26,1813,1873,60,43040151,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430004671,SHERMAN,JOHN,S,OH,M,R,,voting,18731215,1823-05-10,1823,1873,50,43058411,3.0774936080667125e-11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4049,430012896,TIPTON,THOMAS,S,NE,M,L,,voting,18740123,1817-08-05,1817,1874,57,43040491,0.0,5,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430016459,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740203,1828-02-01,1828,1874,46,43052681,0.0,5,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.3,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5175,430016841,LOGAN,JOHN,S,IL,M,R,,voting,18740204,1826-02-09,1826,1874,48,43051751,0.0,0,6,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.6,0.0,0.0,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430018946,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740209,1828-02-01,1828,1874,46,43052681,0.0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4314,430019307,MORTON,OLIVER,S,IN,M,R,,voting,18740210,1823-08-04,1823,1874,51,43043141,0.0,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4514,430019416,STOWELL,WILLIAM,H,VA,M,R,4.0,voting,18740210,1840-07-26,1840,1874,34,43045140,0.0,0,2,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.1,0.1,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
