speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_15,cluster_7,cluster_4,cluster_2,cluster_3,cluster_17,cluster_8,cluster_0,cluster_6,cluster_14,cluster_1,cluster_9,cluster_13,cluster_12,cluster_5,cluster_10,cluster_18,cluster_11,cluster_16,cluster_15_p,cluster_7_p,cluster_4_p,cluster_2_p,cluster_3_p,cluster_17_p,cluster_8_p,cluster_0_p,cluster_6_p,cluster_14_p,cluster_1_p,cluster_9_p,cluster_13_p,cluster_12_p,cluster_5_p,cluster_10_p,cluster_18_p,cluster_11_p,cluster_16_p,n
4702,430015394,CARPENTER,MATTHEW,S,WI,M,R,,voting,18740130,1824-12-22,1824,1874,50,43047021,0.0,5,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430016459,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740203,1828-02-01,1828,1874,46,43052681,0.0,1,0,2,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4219,430020230,BARBER,JOEL,H,WI,M,R,3.0,voting,18740211,1809-01-17,1809,1874,65,43042190,0.0,3,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.0,0.1,0.0,0.5,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5052,430020231,POLAND,LUKE,H,VT,M,R,2.0,voting,18740211,1815-11-01,1815,1874,59,43050520,0.0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5268,430059288,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740526,1828-02-01,1828,1874,46,43052681,0.0,0,0,2,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4026,430061356,SCHURZ,CARL,S,MO,M,L,,voting,18740529,1829-03-02,1829,1874,45,43040261,0.0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4364,430063478,SPEER,ROBERT,H,PA,M,D,17.0,voting,18740602,1838-09-08,1838,1874,36,43043640,0.0,2,0,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.4,0.1,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4220,430063503,BARRERE,GRANVILLE,H,IL,M,R,9.0,voting,18740602,1829-07-11,1829,1874,45,43042200,2.5872412528429758e-15,1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4220,430063506,BARRERE,GRANVILLE,H,IL,M,R,9.0,voting,18740602,1829-07-11,1829,1874,45,43042200,0.0,1,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4253,430063507,DE WITT,DAVID,H,NY,M,D,14.0,voting,18740602,1837-11-25,1837,1874,37,43042530,0.0,3,7,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0.3888888888888889,0.1111111111111111,0.05555555555555555,0.0,0.2222222222222222,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4274,430064542,HAZELTON,JOHN,H,NJ,M,R,1.0,voting,18740604,1814-12-10,1814,1874,60,43042740,0.0,0,2,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,430099436,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18750212,1818-11-05,1818,1875,57,43045660,0.0,4,0,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.4,0.35,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4348,430099459,SENER,JAMES,H,VA,M,R,1.0,voting,18750212,1837-05-18,1837,1875,38,43043480,1.5573785396573837e-18,1,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4566,430099460,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18750212,1818-11-05,1818,1875,57,43045660,1.8849340027777444e-06,2,0,6,9,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.3,0.45,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4598,430099471,GIDDINGS,DE,H,TX,M,D,3.0,voting,18750212,1827-07-18,1827,1875,48,43045980,0.0,1,5,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.2631578947368421,0.47368421052631576,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
4566,430099472,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18750212,1818-11-05,1818,1875,57,43045660,0.0,3,0,19,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.6333333333333333,0.06666666666666667,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30
4598,430099541,GIDDINGS,DE,H,TX,M,D,3.0,voting,18750212,1827-07-18,1827,1875,48,43045980,0.0,6,2,13,15,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0.15,0.05,0.325,0.375,0.0,0.025,0.025,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40
