Unnamed: 0,speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_2,cluster_4,cluster_0,cluster_5,cluster_7,cluster_6,cluster_12,cluster_10,cluster_14,cluster_9,cluster_8,cluster_3,cluster_11,cluster_1,cluster_13,cluster_2_p,cluster_4_p,cluster_0_p,cluster_5_p,cluster_7_p,cluster_6_p,cluster_12_p,cluster_10_p,cluster_14_p,cluster_9_p,cluster_8_p,cluster_3_p,cluster_11_p,cluster_1_p,cluster_13_p,n
10698,43053990,430017900,COX,SAMUEL,H,NY,M,D,6.0,voting,18740205,1824-09-30,1824,1874,50,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
82548,43061251,430047356,MORRILL,JUSTIN,S,VT,M,R,,voting,18740427,1810-04-14,1810,1874,64,0.0,11,0,5,1,1,2,0,0,0,0,0,0,0,0,0,0.55,0.0,0.25,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
40927,43043930,430067011,WOODFORD,STEWART,H,NY,M,R,3.0,voting,18740609,1835-09-03,1835,1874,39,0.0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
63740,43042780,430104368,HOOPER,SAMUEL,H,MA,M,R,4.0,voting,18750220,1808-02-03,1808,1875,67,0.0,4,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,10
89253,43043800,430104588,WARD,JASPER,H,IL,M,R,2.0,voting,18750220,1829-02-01,1829,1875,46,0.0,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0.2,0.5,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
63875,43047300,430104591,FORT,GREENBURY,H,IL,M,R,8.0,voting,18750220,1825-10-17,1825,1875,50,0.0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3752,44047090,440005703,CLYMER,HIESTER,H,PA,M,D,8.0,voting,18760121,1827-11-03,1827,1876,49,0.0,1,3,1,2,1,1,0,0,0,1,0,0,0,0,0,0.1,0.3,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
88551,44045230,440084981,VANCE,JOHN,H,OH,M,D,11.0,voting,18761216,1839-07-19,1839,1876,37,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
61409,44044380,440086425,FAULKNER,CHARLES,H,VA,M,D,-1.0,voting,18761221,1806-07-06,1806,1876,70,0.0,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
63610,44048400,440089576,FINLEY,JESSE,H,FL,M,D,2.0,voting,18770111,1812-11-18,1812,1877,65,0.0,1,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.1,0.0,0.0,10
65078,44045150,440092165,TARBOX,JOHN,H,MA,M,D,7.0,voting,18770120,1838-05-06,1838,1877,39,0.0,2,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
10968,45048831,450016387,MAXEY,SAMUEL,S,TX,M,D,,voting,18780116,1825-03-30,1825,1878,53,0.0,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11191,45045201,450016659,THURMAN,ALLEN,S,OH,M,D,,voting,18780117,1813-11-13,1813,1878,65,0.0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11195,45043791,450016665,WADLEIGH,BAINBRIDGE,S,NH,M,R,,voting,18780117,1831-01-04,1831,1878,47,0.0,5,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11347,45053760,450016910,BROWNE,THOMAS,H,IN,M,R,5.0,voting,18780118,1829-04-19,1829,1878,49,0.0,13,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0.65,0.05,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
11349,45046120,450016912,HUNTER,MORTON,H,IN,M,R,8.0,voting,18780118,1825-02-05,1825,1878,53,0.0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
11916,45046070,450017697,HATCHER,ROBERT,H,MO,M,D,4.0,voting,18780123,1819-02-24,1819,1878,59,0.0,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
97296,45046870,450034469,BAKER,JOHN,H,IN,M,R,13.0,voting,18780311,1832-02-28,1832,1878,46,0.0,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0.4,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
97817,45050100,450041763,HEWITT,GOLDSMITH,H,AL,M,D,6.0,voting,18780401,1834-02-14,1834,1878,44,0.0,10,5,1,0,4,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0.05,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
38308,45053671,450056294,BECK,JAMES,S,KY,M,D,,voting,18780501,1822-02-13,1822,1878,56,0.0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
44123,45046101,450064536,HILL,BENJAMIN,S,GA,M,D,,voting,18780516,1823-09-14,1823,1878,55,0.0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
93055,45045660,450080730,BUTLER,BENJAMIN,H,MA,M,R,7.0,voting,18780610,1818-11-05,1818,1878,60,0.0,14,3,3,2,2,0,0,0,5,1,0,0,0,0,0,0.4666666666666667,0.1,0.1,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,30
56731,45061251,450082899,MORRILL,JUSTIN,S,VT,M,R,,voting,18780612,1810-04-14,1810,1878,68,0.0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
