speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_2,cluster_4,cluster_5,cluster_1,cluster_9,cluster_0,cluster_3,cluster_7,cluster_6,cluster_10,cluster_8,cluster_11,cluster_2_p,cluster_4_p,cluster_5_p,cluster_1_p,cluster_9_p,cluster_0_p,cluster_3_p,cluster_7_p,cluster_6_p,cluster_10_p,cluster_8_p,cluster_11_p,n
4725,440020263,FELTON,WILLIAM,H,GA,M,I,7.0,voting,18760315,1823-06-19,1823,1876,53,0.0,3,0,0,1,0,5,1,0,0,0,0,0,0.3,0.0,0.0,0.1,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.0,10
5383,470148568,CANDLER,JOHN,H,MA,M,R,8.0,voting,18830110,1828-02-10,1828,1883,55,0.0,1,7,0,0,0,2,0,0,0,0,0,0,0.1,0.7,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
5690,530005655,ARNOLD,MARSHALL,H,MO,M,D,14.0,voting,18930822,1845-10-21,1845,1893,48,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5804,530063164,MARTIN,JOHN,S,KS,M,D,,voting,18940222,1833-11-12,1833,1894,61,0.0,2,0,0,0,0,8,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
6114,550163933,MAXWELL,SAMUEL,H,NE,M,P,3.0,voting,18990126,1825-05-20,1825,1899,74,0.0,1,0,0,1,0,7,1,0,0,0,0,0,0.1,0.0,0.0,0.1,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,10
6034,550181535,WOLCOTT,EDWARD,S,CO,M,R,,voting,18990222,1848-03-26,1848,1899,51,0.0,0,0,1,0,0,9,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
6438,560020958,FORAKER,JOSEPH,S,OH,M,R,,voting,19000222,1846-07-05,1846,1900,54,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7008,560142308,BACON,AUGUSTUS,S,GA,M,D,,voting,19010222,1839-10-20,1839,1901,62,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6527,570020678,BURROWS,JULIUS,S,MI,M,R,,voting,19020222,1837-01-09,1837,1902,65,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6307,570125123,DUBOIS,FRED,S,ID,M,D,,voting,19030223,1851-05-29,1851,1903,52,0.0,1,0,2,0,0,7,0,0,0,0,0,0,0.1,0.0,0.2,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
6793,580027529,HEYBURN,WELDON,S,ID,M,R,,voting,19040222,1852-05-23,1852,1904,52,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6842,580110092,PERKINS,GEORGE,S,CA,M,R,,voting,19050222,1839-08-23,1839,1905,66,0.0,2,0,1,0,0,7,0,0,0,0,0,0,0.2,0.0,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
6468,590030975,MCCREARY,JAMES,S,KY,M,D,,voting,19060222,1838-07-08,1838,1906,68,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6526,590170654,BURKETT,ELMER,S,NE,M,R,,voting,19070222,1867-12-01,1867,1907,40,0.0,2,1,0,0,0,7,0,0,0,0,0,0,0.2,0.1,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
7341,600024029,MCCUMBER,PORTER,S,ND,M,R,,voting,19080222,1858-02-03,1858,1908,50,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
6793,610044215,HEYBURN,WELDON,S,ID,M,R,,voting,19090608,1852-05-23,1852,1909,57,0.0,1,0,1,0,0,8,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
7742,630143060,REED,JAMES,S,MO,M,D,,voting,19140211,1861-11-09,1861,1914,53,0.0,2,0,0,0,0,7,1,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,10
8509,630361883,BORAH,WILLIAM,S,ID,M,R,,voting,19141007,1865-06-29,1865,1914,49,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
6997,640064143,WORKS,JOHN,S,CA,M,R,,voting,19160323,1847-03-29,1847,1916,69,0.0,2,0,0,0,0,8,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
7409,640213221,BURNETT,JOHN,H,AL,M,D,7.0,voting,19160907,1854-01-20,1854,1916,62,0.0,3,1,0,1,0,5,0,0,0,0,0,0,0.3,0.1,0.0,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10
8509,650091542,BORAH,WILLIAM,S,ID,M,R,,voting,19170726,1865-06-29,1865,1917,52,0.0,5,0,1,0,0,4,0,0,0,0,0,0,0.5,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,10
7256,650394933,THOMAS,CHARLES,S,CO,M,D,,voting,19190217,1849-12-06,1849,1919,70,0.0,0,0,0,1,0,8,1,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,10
8509,660008123,BORAH,WILLIAM,S,ID,M,R,,voting,19190603,1865-06-29,1865,1919,54,0.0,0,1,1,0,0,8,0,0,0,0,0,0,0.0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
8509,660065377,BORAH,WILLIAM,S,ID,M,R,,voting,19190826,1865-06-29,1865,1919,54,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
7341,660092454,MCCUMBER,PORTER,S,ND,M,R,,voting,19191006,1858-02-03,1858,1919,61,0.0,9,0,0,0,0,1,0,0,0,0,0,0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
7848,690021510,BERGER,VICTOR,H,WI,M,S,5.0,voting,19260118,1860-02-28,1860,1926,66,0.0,1,1,0,0,0,8,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
8330,690182857,LOZIER,RALPH,H,MO,M,D,2.0,voting,19261221,1866-01-28,1866,1926,60,0.0,0,0,0,1,0,9,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
9106,690230835,CONNALLY,THOMAS,H,TX,M,D,11.0,voting,19270223,1877-08-19,1877,1927,50,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8265,710269105,BLACK,HUGO,S,AL,M,D,,voting,19310119,1886-02-27,1886,1931,45,0.0,1,1,4,0,0,0,1,3,0,0,0,0,0.1,0.1,0.4,0.0,0.0,0.0,0.1,0.3,0.0,0.0,0.0,0.0,10
9674,720060126,POLK,JAMES,H,OH,M,D,6.0,voting,19320316,1896-10-06,1896,1932,36,0.0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10
8390,720061058,BACHARACH,ISAAC,H,NJ,M,R,2.0,voting,19320317,1870-01-05,1870,1932,62,0.0,0,0,1,0,0,9,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
8250,720100474,LONG,HUEY,S,LA,M,D,,voting,19320512,1893-08-30,1893,1932,39,0.0,1,1,0,0,0,7,1,0,0,0,0,0,0.1,0.1,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.0,0.0,0.0,10
8519,720226073,CONNERY,WILLIAM,H,MA,M,D,7.0,voting,19330222,1888-08-24,1888,1933,45,0.0,2,0,0,0,0,8,0,0,0,0,0,0,0.2,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,10
8303,730147419,FLETCHER,DUNCAN,S,FL,M,D,,voting,19340501,1859-01-06,1859,1934,75,0.0,1,0,15,2,0,2,0,0,0,0,0,0,0.05,0.0,0.75,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20
8094,740021549,COUZENS,JAMES,S,MI,M,R,,voting,19350220,1872-08-26,1872,1935,63,0.0,2,0,2,2,0,24,0,0,0,0,0,0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,30
8949,740141206,TREADWAY,ALLEN,H,MA,M,R,1.0,voting,19350817,1867-09-16,1867,1935,68,0.0,0,0,2,1,0,7,0,0,0,0,0,0,0.0,0.0,0.2,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,10
8260,740174974,BACHMAN,NATHAN,S,TN,M,D,,voting,19360222,1878-08-02,1878,1936,58,0.0,1,0,0,0,0,9,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,10
