speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_7,cluster_6,cluster_1,cluster_0,cluster_12,cluster_13,cluster_11,cluster_14,cluster_5,cluster_3,cluster_8,cluster_4,cluster_18,cluster_9,cluster_15,cluster_17,cluster_10,cluster_16,cluster_2_p,cluster_7_p,cluster_6_p,cluster_1_p,cluster_0_p,cluster_12_p,cluster_13_p,cluster_11_p,cluster_14_p,cluster_5_p,cluster_3_p,cluster_8_p,cluster_4_p,cluster_18_p,cluster_9_p,cluster_15_p,cluster_17_p,cluster_10_p,cluster_16_p,n
4342,430048734,SARGENT,AARON,S,CA,M,R,,voting,18740501,1827-09-28,1827,1874,47,43043421,0.0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,440000222,SARGENT,AARON,S,CA,M,R,,voting,18750311,1827-09-28,1827,1875,48,44043421,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4396,440006312,HARVEY,JAMES,S,KS,M,R,,voting,18760125,1833-09-21,1833,1876,43,44043961,0.0,0,0,0,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.7,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4225,440013704,BOGY,LEWIS,S,MO,M,D,,voting,18760223,1813-04-09,1813,1876,63,44042251,3.3258077639745456e-17,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4542,440024616,WITHERS,ROBERT,S,VA,M,D,,voting,18760330,1821-09-18,1821,1876,55,44045421,0.0,2,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.0,0.0,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4468,440111255,LANE,LA,H,OR,M,D,1.0,voting,18770302,1842-11-12,1842,1877,35,44044680,0.0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,450060062,SARGENT,AARON,S,CA,M,R,,voting,18780507,1827-09-28,1827,1878,51,45043421,0.0,0,1,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,450060760,SARGENT,AARON,S,CA,M,R,,voting,18780508,1827-09-28,1827,1878,51,45043421,0.0,0,1,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.7,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4546,460018834,BLAINE,JAMES,S,ME,M,R,,voting,18790519,1830-01-31,1830,1879,49,46045461,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4796,460138468,WILLIAMS,JOHN,S,KY,M,D,,voting,18810119,1818-07-10,1818,1881,63,46047961,0.0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
