speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_9,cluster_4,cluster_13,cluster_2,cluster_12,cluster_6,cluster_10,cluster_11,cluster_7,cluster_5,cluster_3,cluster_8,cluster_0,cluster_14,cluster_1,cluster_9_p,cluster_4_p,cluster_13_p,cluster_2_p,cluster_12_p,cluster_6_p,cluster_10_p,cluster_11_p,cluster_7_p,cluster_5_p,cluster_3_p,cluster_8_p,cluster_0_p,cluster_14_p,cluster_1_p,n
6125,440046898,MORRILL,JUSTIN,S,VT,M,R,,voting,18760610,1810-04-14,1810,1876,66,44061251,0.0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,10
4711,450130141,CONKLING,ROSCOE,S,NY,M,R,,voting,18790301,1829-10-30,1829,1879,50,45047111,0.0,0,3,1,5,0,0,0,0,0,1,0,0,0,0,0,0.0,0.3,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,10
6220,460029154,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18790611,1826-10-31,1826,1879,53,46062200,0.0,0,2,3,0,0,4,0,0,0,0,0,0,0,0,0,0.0,0.2222222222222222,0.3333333333333333,0.0,0.0,0.4444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5399,460100894,COX,SAMUEL,H,NY,M,D,6.0,voting,18800515,1824-09-30,1824,1880,56,46053990,0.0,1,2,1,0,0,0,0,0,9,0,7,0,0,0,0,0.05,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.35,0.0,0.0,0.0,0.0,20
5367,470004314,BECK,JAMES,S,KY,M,D,,voting,18810407,1822-02-13,1822,1881,59,47053671,0.0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6669,470005912,FRYE,WILLIAM,S,ME,M,R,,voting,18810420,1830-09-02,1830,1881,51,47066691,0.0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4854,470008601,HAZELTON,GEORGE,H,WI,M,R,3.0,voting,18811205,1832-01-03,1832,1881,49,47048540,0.0,1,2,0,0,0,0,1,0,6,0,0,0,0,0,0,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,470032288,COX,SAMUEL,H,NY,M,D,6.0,voting,18820304,1824-09-30,1824,1882,58,47053990,0.0,0,1,1,0,1,0,0,0,0,0,7,0,0,0,0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,10
4884,470032297,MCCOOK,ANSON,H,NY,M,R,8.0,voting,18820304,1835-10-10,1835,1882,47,47048840,0.0,1,0,6,1,0,0,0,1,0,0,1,0,0,0,0,0.1,0.0,0.6,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,10
4893,470057368,MOORE,WILLIAM,H,TN,M,R,10.0,voting,18820426,1830-03-28,1830,1882,52,47048930,0.0,0,1,0,0,0,0,7,0,2,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,10
