speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_0,cluster_1,cluster_12,cluster_2,cluster_7,cluster_8,cluster_5,cluster_11,cluster_9,cluster_17,cluster_14,cluster_13,cluster_10,cluster_16,cluster_3,cluster_15,cluster_4,cluster_6,cluster_0_p,cluster_1_p,cluster_12_p,cluster_2_p,cluster_7_p,cluster_8_p,cluster_5_p,cluster_11_p,cluster_9_p,cluster_17_p,cluster_14_p,cluster_13_p,cluster_10_p,cluster_16_p,cluster_3_p,cluster_15_p,cluster_4_p,cluster_6_p,n
4309,430008825,MELLISH,DAVID,H,NY,M,R,9.0,voting,18740110,1831-01-02,1831,1874,43,43043090,0.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430017898,COX,SAMUEL,H,NY,M,D,6.0,voting,18740205,1824-09-30,1824,1874,50,43053990,0.0,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3931,430030303,BOREMAN,ARTHUR,S,WV,M,R,,voting,18740319,1823-07-24,1823,1874,51,43039311,0.0,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430038627,COX,SAMUEL,H,NY,M,D,6.0,voting,18740407,1824-09-30,1824,1874,50,43053990,0.0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430041422,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740413,1831-11-19,1831,1874,43,43048000,0.013482717406524,8,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5485,430043704,RANDALL,SAMUEL,H,PA,M,D,1.0,voting,18740418,1828-10-10,1828,1874,46,43054850,7.558631812083463e-09,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,430068710,STEWART,WILLIAM,S,NV,M,R,,voting,18740612,1827-08-09,1827,1874,47,43062621,0.0,1,0,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.1,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4299,430106345,MARSHALL,SAMUEL,H,IL,M,D,19.0,voting,18750223,1821-03-12,1821,1875,54,43042990,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4410,440015156,BRADLEY,NATHAN,H,MI,M,R,8.0,voting,18760225,1831-05-28,1831,1876,45,44044100,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,440015162,HOAR,GEORGE,H,MA,M,R,9.0,voting,18760225,1826-08-29,1826,1876,50,44063270,0.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6327,440015185,HOAR,GEORGE,H,MA,M,R,9.0,voting,18760225,1826-08-29,1826,1876,50,44063270,0.0,17,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4454,440028321,HURLBUT,STEPHEN,H,IL,M,R,4.0,voting,18760406,1815-11-29,1815,1876,61,44044540,0.0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4850,440067401,HARRIS,BENJAMIN,H,MA,M,R,2.0,voting,18760724,1823-11-10,1823,1876,53,44048500,0.0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.0,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
