speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_1,cluster_0,cluster_5,cluster_2,cluster_4,cluster_8,cluster_3,cluster_14,cluster_12,cluster_10,cluster_7,cluster_13,cluster_15,cluster_6,cluster_9,cluster_11,cluster_17,cluster_16,cluster_18,cluster_1_p,cluster_0_p,cluster_5_p,cluster_2_p,cluster_4_p,cluster_8_p,cluster_3_p,cluster_14_p,cluster_12_p,cluster_10_p,cluster_7_p,cluster_13_p,cluster_15_p,cluster_6_p,cluster_9_p,cluster_11_p,cluster_17_p,cluster_16_p,cluster_18_p,n
6125,430002478,MORRILL,JUSTIN,S,VT,M,R,,voting,18731203,1810-04-14,1810,1873,63,0.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4589,430002785,FERRY,THOMAS,S,MI,M,R,,voting,18731204,1827-06-10,1827,1873,46,0.0,1,14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05263157894736842,0.7368421052631579,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
5434,430003450,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18731209,1814-04-12,1814,1873,59,0.0,1,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.7222222222222222,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4314,430005990,MORTON,OLIVER,S,IN,M,R,,voting,18731218,1823-08-04,1823,1873,50,0.0,2,43,2,21,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.02702702702702703,0.581081081081081,0.02702702702702703,0.28378378378378377,0.05405405405405406,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74
4524,430008748,WALDRON,HENRY,H,MI,M,R,2.0,voting,18740109,1819-10-11,1819,1874,55,0.0,15,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4589,430009904,FERRY,THOMAS,S,MI,M,R,,voting,18740114,1827-06-10,1827,1874,47,0.0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4444444444444444,0.0,0.5555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5841,430010926,SHERMAN,JOHN,S,OH,M,R,,voting,18740116,1823-05-10,1823,1874,51,0.0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4026,430010929,SCHURZ,CARL,S,MO,M,L,,voting,18740116,1829-03-02,1829,1874,45,0.1158566954284189,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4026,430010931,SCHURZ,CARL,S,MO,M,L,,voting,18740116,1829-03-02,1829,1874,45,1.5367091525728308e-06,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3935,430011571,BROWNLOW,WILLIAM,S,TN,M,R,,voting,18740120,1805-08-29,1805,1874,69,0.0,4,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.1,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,430015763,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740131,1814-04-12,1814,1874,60,0.0,2,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430016607,COX,SAMUEL,H,NY,M,D,6.0,voting,18740203,1824-09-30,1824,1874,50,0.0,0,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.8333333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
5434,430018735,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740207,1814-04-12,1814,1874,60,0.0,1,4,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430018828,COX,SAMUEL,H,NY,M,D,6.0,voting,18740207,1824-09-30,1824,1874,50,0.0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5841,430019943,SHERMAN,JOHN,S,OH,M,R,,voting,18740211,1823-05-10,1823,1874,51,0.0,0,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4275,430021291,HERNDON,WILLIAM,H,TX,M,D,1.0,voting,18740216,1835-11-27,1835,1874,39,0.0,17,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5434,430037544,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740404,1814-04-12,1814,1874,60,0.0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.4,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5399,430038625,COX,SAMUEL,H,NY,M,D,6.0,voting,18740407,1824-09-30,1824,1874,50,0.0,2,9,0,5,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.10526315789473684,0.47368421052631576,0.0,0.2631578947368421,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
6093,430044473,HOLMAN,WILLIAM,H,IN,M,D,3.0,voting,18740420,1822-09-06,1822,1874,52,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4661,430055377,SWANN,THOMAS,H,MD,M,D,4.0,voting,18740516,1809-02-03,1809,1874,65,0.0,0,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4258,430055386,ELDREDGE,CHARLES,H,WI,M,D,5.0,voting,18740516,1820-02-27,1820,1874,54,0.0,0,38,0,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.6785714285714286,0.0,0.23214285714285715,0.0,0.08928571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56
4757,430067033,MONROE,JAMES,H,OH,M,R,18.0,voting,18740609,1821-07-18,1821,1874,53,0.0,0,8,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.42105263157894735,0.0,0.42105263157894735,0.0,0.15789473684210525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19
