speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_5,cluster_7,cluster_6,cluster_1,cluster_8,cluster_2,cluster_4,cluster_3,cluster_9,cluster_15,cluster_0,cluster_12,cluster_13,cluster_11,cluster_14,cluster_10,cluster_16,cluster_5_p,cluster_7_p,cluster_6_p,cluster_1_p,cluster_8_p,cluster_2_p,cluster_4_p,cluster_3_p,cluster_9_p,cluster_15_p,cluster_0_p,cluster_12_p,cluster_13_p,cluster_11_p,cluster_14_p,cluster_10_p,cluster_16_p,n
4566,430006731,BUTLER,BENJAMIN,H,MA,M,R,6.0,voting,18731219,1818-11-05,1818,1873,55,43045660,0.0,0,1,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.1,0.1,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430028188,SARGENT,AARON,S,CA,M,R,,voting,18740306,1827-09-28,1827,1874,47,43043421,0.0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,430037550,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740404,1814-04-12,1814,1874,60,43054340,0.0,0,0,0,2,0,4,3,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,0.0,0.4,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4072,430048169,ALCORN,JAMES,S,MS,M,R,,voting,18740430,1816-11-04,1816,1874,58,43040721,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4342,430048859,SARGENT,AARON,S,CA,M,R,,voting,18740501,1827-09-28,1827,1874,47,43043421,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4800,430054375,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740514,1831-11-19,1831,1874,43,43048000,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4661,430054376,SWANN,THOMAS,H,MD,M,D,4.0,voting,18740514,1809-02-03,1809,1874,65,43046610,0.0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4396,430064240,HARVEY,JAMES,S,KS,M,R,,voting,18740604,1833-09-21,1833,1874,41,43043961,0.0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4661,430085458,SWANN,THOMAS,H,MD,M,D,4.0,voting,18750111,1809-02-03,1809,1875,66,43046610,0.0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4512,430086649,STEELE,WILLIAM,H,WY,M,D,0.0,nonvoting,18750114,1842-07-24,1842,1875,33,43045120,0.0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
