speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,procedural_prob,cluster_0,cluster_2,cluster_1,cluster_8,cluster_3,cluster_10,cluster_5,cluster_6,cluster_4,cluster_12,cluster_15,cluster_7,cluster_11,cluster_9,cluster_14,cluster_13,cluster_0_p,cluster_2_p,cluster_1_p,cluster_8_p,cluster_3_p,cluster_10_p,cluster_5_p,cluster_6_p,cluster_4_p,cluster_12_p,cluster_15_p,cluster_7_p,cluster_11_p,cluster_9_p,cluster_14_p,cluster_13_p,n
4711,430000049,CONKLING,ROSCOE,S,NY,M,R,,voting,18730306,1829-10-30,1829,1873,44,0.0,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,430001360,STEWART,WILLIAM,S,NV,M,R,,voting,18730321,1827-08-09,1827,1873,46,0.0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4377,430003822,TREMAIN,LYMAN,H,NY,M,R,-1.0,voting,18731210,1819-06-14,1819,1873,54,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5685,430007224,MILLS,ROGER,H,TX,M,D,-1.0,voting,18740105,1832-03-30,1832,1874,42,0.0,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4049,430007591,TIPTON,THOMAS,S,NE,M,L,,voting,18740107,1817-08-05,1817,1874,57,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4097,430011567,CLAYTON,POWELL,S,AR,M,R,,voting,18740120,1833-08-07,1833,1874,41,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4359,430012181,SMITH,HORACE,H,NY,M,R,28.0,voting,18740121,1826-08-18,1826,1874,48,0.0,0,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.4,0.4,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4282,430015767,HYDE,IRA,H,MO,M,R,10.0,voting,18740131,1838-01-18,1838,1874,36,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6403,430018208,ALLISON,WILLIAM,S,IA,M,R,,voting,18740206,1829-03-02,1829,1874,45,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4027,430019739,SCOTT,JOHN,S,PA,M,R,,voting,18740211,1824-07-24,1824,1874,50,0.0,1,1,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0.05555555555555555,0.05555555555555555,0.7777777777777778,0.05555555555555555,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
4589,430019864,FERRY,THOMAS,S,MI,M,R,,voting,18740211,1827-06-10,1827,1874,47,0.0,0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
