speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_5,cluster_3,cluster_0,cluster_10,cluster_1,cluster_7,cluster_12,cluster_8,cluster_9,cluster_11,cluster_6,cluster_2,cluster_4,cluster_5_p,cluster_3_p,cluster_0_p,cluster_10_p,cluster_1_p,cluster_7_p,cluster_12_p,cluster_8_p,cluster_9_p,cluster_11_p,cluster_6_p,cluster_2_p,cluster_4_p,n
5841,430001247,SHERMAN,JOHN,S,OH,M,R,,voting,18730321,1823-05-10,1823,1873,50,43058411,0.0,0,0,9,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4043,430003931,SUMNER,CHARLES,S,MA,M,L,,voting,18731211,1811-01-06,1811,1873,62,43040431,0.0,0,1,8,0,0,0,1,0,0,0,0,0,0,0.0,0.1,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,10
4269,430006124,HALE,ROBERT,H,NY,M,R,17.0,voting,18731218,1822-09-24,1822,1873,51,43042690,0.0,0,0,3,0,7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5550,430007398,BLOUNT,JAMES,H,GA,M,D,6.0,voting,18740106,1837-09-12,1837,1874,37,43055500,0.0,0,0,0,1,9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4097,430008427,CLAYTON,POWELL,S,AR,M,R,,voting,18740109,1833-08-07,1833,1874,41,43040971,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4635,430009484,PHILLIPS,WILLIAM,H,KS,M,R,-1.0,voting,18740113,1824-01-14,1824,1874,50,43046350,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5175,430011347,LOGAN,JOHN,S,IL,M,R,,voting,18740119,1826-02-09,1826,1874,48,43051751,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4301,430011814,MAYNARD,HORACE,H,TN,M,R,-1.0,voting,18740120,1814-08-30,1814,1874,60,43043010,0.0,1,1,0,0,8,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4646,430013407,ROBBINS,WILLIAM,H,NC,M,D,7.0,voting,18740124,1828-10-26,1828,1874,46,43046460,0.0,0,0,1,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4646,430013410,ROBBINS,WILLIAM,H,NC,M,D,7.0,voting,18740124,1828-10-26,1828,1874,46,43046460,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,430013449,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740124,1814-04-12,1814,1874,60,43054340,0.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
5268,430015872,EDMUNDS,GEORGE,S,VT,M,R,,voting,18740202,1828-02-01,1828,1874,46,43052681,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430016008,MORRILL,LOT,S,ME,M,R,,voting,18740202,1813-05-03,1813,1874,61,43041621,0.0,0,0,2,0,8,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430020388,SHERMAN,JOHN,S,OH,M,R,,voting,18740212,1823-05-10,1823,1874,51,43058411,0.0,1,1,3,1,14,0,0,0,0,0,0,0,0,0.05,0.05,0.15,0.05,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5841,430020390,SHERMAN,JOHN,S,OH,M,R,,voting,18740212,1823-05-10,1823,1874,51,43058411,0.0,2,0,2,0,6,0,0,0,0,0,0,0,0,0.2,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4800,430021620,GARFIELD,JAMES,H,OH,M,R,19.0,voting,18740217,1831-11-19,1831,1874,43,43048000,0.0,1,0,1,0,8,0,0,0,0,0,0,0,0,0.1,0.0,0.1,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4043,430022844,SUMNER,CHARLES,S,MA,M,L,,voting,18740219,1811-01-06,1811,1874,63,43040431,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430022973,MORTON,OLIVER,S,IN,M,R,,voting,18740219,1823-08-04,1823,1874,51,43043141,0.0,4,2,4,0,0,0,0,0,0,0,0,0,0,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430024892,SHERMAN,JOHN,S,OH,M,R,,voting,18740225,1823-05-10,1823,1874,51,43058411,0.0,0,1,8,0,1,0,0,0,0,0,0,0,0,0.0,0.1,0.8,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430024902,SHERMAN,JOHN,S,OH,M,R,,voting,18740225,1823-05-10,1823,1874,51,43058411,0.0,0,0,1,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430024904,SHERMAN,JOHN,S,OH,M,R,,voting,18740225,1823-05-10,1823,1874,51,43058411,8.602689487845356e-11,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5321,430025047,PHELPS,WILLIAM,H,NJ,M,R,5.0,voting,18740225,1839-08-24,1839,1874,35,43053210,0.0,0,0,0,1,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1111111111111111,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
4309,430026336,MELLISH,DAVID,H,NY,M,R,9.0,voting,18740228,1831-01-02,1831,1874,43,43043090,0.0,0,3,7,1,7,0,0,0,0,0,2,0,0,0.0,0.15,0.35,0.05,0.35,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,20
4589,430032472,FERRY,THOMAS,S,MI,M,R,,voting,18740324,1827-06-10,1827,1874,47,43045891,0.0,3,7,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430035623,SHERMAN,JOHN,S,OH,M,R,,voting,18740401,1823-05-10,1823,1874,51,43058411,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
6262,430039481,STEWART,WILLIAM,S,NV,M,R,,voting,18740409,1827-08-09,1827,1874,47,43062621,0.0,1,0,7,1,1,0,0,0,0,0,0,0,0,0.1,0.0,0.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4097,430041010,CLAYTON,POWELL,S,AR,M,R,,voting,18740413,1833-08-07,1833,1874,41,43040971,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
