speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_2,cluster_0,cluster_5,cluster_10,cluster_12,cluster_9,cluster_7,cluster_4,cluster_8,cluster_13,cluster_3,cluster_6,cluster_11,cluster_1,cluster_2_p,cluster_0_p,cluster_5_p,cluster_10_p,cluster_12_p,cluster_9_p,cluster_7_p,cluster_4_p,cluster_8_p,cluster_13_p,cluster_3_p,cluster_6_p,cluster_11_p,cluster_1_p,n
4445,430000002,HAMLIN,HANNIBAL,S,ME,M,R,,voting,18730304,1809-08-27,1809,1873,64,43044451,1.0906062641392093e-07,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430000049,CONKLING,ROSCOE,S,NY,M,R,,voting,18730306,1829-10-30,1829,1873,44,43047111,0.0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,430000141,STEVENSON,JOHN,S,KY,M,D,,voting,18730306,1812-05-04,1812,1873,61,43041901,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4281,430000282,HOWE,TIMOTHY,S,WI,M,R,,voting,18730307,1816-02-24,1816,1873,57,43042811,0.0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
3931,430000333,BOREMAN,ARTHUR,S,WV,M,R,,voting,18730307,1823-07-24,1823,1873,50,43039311,0.0,7,2,0,0,0,0,1,0,0,0,0,0,0,0,0.7,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4589,430000440,FERRY,THOMAS,S,MI,M,R,,voting,18730311,1827-06-10,1827,1873,46,43045891,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4091,430000466,CALDWELL,ALEXANDER,S,KS,M,R,,voting,18730311,1830-03-01,1830,1873,43,43040911,0.0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430000612,SHERMAN,JOHN,S,OH,M,R,,voting,18730313,1823-05-10,1823,1873,50,43058411,1.4260079307376406e-20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4281,430000621,HOWE,TIMOTHY,S,WI,M,R,,voting,18730313,1816-02-24,1816,1873,57,43042811,0.0004706247996508,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4281,430000723,HOWE,TIMOTHY,S,WI,M,R,,voting,18730314,1816-02-24,1816,1873,57,43042811,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430000734,SHERMAN,JOHN,S,OH,M,R,,voting,18730314,1823-05-10,1823,1873,50,43058411,0.0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430001026,MORTON,OLIVER,S,IN,M,R,,voting,18730319,1823-08-04,1823,1873,50,43043141,0.0008115472744903,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4281,430001298,HOWE,TIMOTHY,S,WI,M,R,,voting,18730321,1816-02-24,1816,1873,57,43042811,0.0,4,10,0,0,0,0,4,1,0,0,0,1,0,0,0.2,0.5,0.0,0.0,0.0,0.0,0.2,0.05,0.0,0.0,0.0,0.05,0.0,0.0,20
4190,430001843,STEVENSON,JOHN,S,KY,M,D,,voting,18730325,1812-05-04,1812,1873,61,43041901,0.0,1,10,7,0,0,0,0,1,0,0,0,0,0,0,0.05263157894736842,0.5263157894736842,0.3684210526315789,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,19
4190,430001845,STEVENSON,JOHN,S,KY,M,D,,voting,18730325,1812-05-04,1812,1873,61,43041901,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4190,430001853,STEVENSON,JOHN,S,KY,M,D,,voting,18730325,1812-05-04,1812,1873,61,43041901,0.0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4317,430002240,NIBLACK,WILLIAM,H,IN,M,D,1.0,voting,18731201,1822-05-19,1822,1873,51,43043170,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4377,430003824,TREMAIN,LYMAN,H,NY,M,R,-1.0,voting,18731210,1819-06-14,1819,1873,54,43043770,0.0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5485,430004181,RANDALL,SAMUEL,H,PA,M,D,1.0,voting,18731211,1828-10-10,1828,1873,45,43054850,0.0131858838935318,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430004538,MORTON,OLIVER,S,IN,M,R,,voting,18731215,1823-08-04,1823,1873,50,43043141,0.0,0,1,5,0,0,0,0,0,0,0,0,4,0,0,0.0,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,10
4314,430004934,MORTON,OLIVER,S,IN,M,R,,voting,18731216,1823-08-04,1823,1873,50,43043141,0.0,1,9,10,0,0,0,0,0,0,0,0,0,0,0,0.05,0.45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4520,430005326,THURMAN,ALLEN,S,OH,M,D,,voting,18731217,1813-11-13,1813,1873,60,43045201,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4314,430005327,MORTON,OLIVER,S,IN,M,R,,voting,18731217,1823-08-04,1823,1873,50,43043141,0.0,0,1,0,0,0,0,0,8,0,0,1,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,10
4801,430005330,WINDOM,WILLIAM,S,MN,M,R,,voting,18731217,1827-05-10,1827,1873,46,43048011,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430005373,MORRILL,LOT,S,ME,M,R,,voting,18731217,1813-05-03,1813,1873,60,43041621,0.0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0.1,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
7544,430005813,CANNON,JOSEPH,H,IL,M,R,14.0,voting,18731217,1836-05-07,1836,1873,37,43075440,0.0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430006576,MORRILL,LOT,S,ME,M,R,,voting,18731219,1813-05-03,1813,1873,60,43041621,0.0,0,3,1,1,0,0,0,4,0,0,1,0,0,0,0.0,0.3,0.1,0.1,0.0,0.0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.0,10
4260,430006579,FERRY,ORRIS,S,CT,M,R,,voting,18731219,1823-08-15,1823,1873,50,43042601,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430006589,THURMAN,ALLEN,S,OH,M,D,,voting,18731219,1813-11-13,1813,1873,60,43045201,0.0,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0.2,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430007282,MORRILL,LOT,S,ME,M,R,,voting,18740106,1813-05-03,1813,1874,61,43041621,0.0,2,4,2,0,0,2,5,0,0,0,0,5,0,0,0.1,0.2,0.1,0.0,0.0,0.1,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,20
4702,430007330,CARPENTER,MATTHEW,S,WI,M,R,,voting,18740106,1824-12-22,1824,1874,50,43047021,0.0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4043,430008889,SUMNER,CHARLES,S,MA,M,L,,voting,18740112,1811-01-06,1811,1874,63,43040431,0.0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4162,430009418,MORRILL,LOT,S,ME,M,R,,voting,18740113,1813-05-03,1813,1874,61,43041621,0.0,0,10,9,0,1,0,0,0,0,0,0,0,0,0,0.0,0.5,0.45,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
5485,430010453,RANDALL,SAMUEL,H,PA,M,D,1.0,voting,18740115,1828-10-10,1828,1874,46,43054850,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5841,430010853,SHERMAN,JOHN,S,OH,M,R,,voting,18740116,1823-05-10,1823,1874,51,43058411,0.0,3,15,0,0,0,1,1,0,0,0,0,0,0,0,0.15,0.75,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4564,430011144,BURCHARD,HORATIO,H,IL,M,R,5.0,voting,18740116,1825-09-22,1825,1874,49,43045640,3.053417442936857e-14,0,8,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10
6220,430011218,HAWLEY,JOSEPH,H,CT,M,R,1.0,voting,18740116,1826-10-31,1826,1874,48,43062200,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4521,430011325,TOWNSEND,WASHINGTON,H,PA,M,R,7.0,voting,18740117,1813-01-20,1813,1874,61,43045210,0.0,1,6,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4162,430013934,MORRILL,LOT,S,ME,M,R,,voting,18740127,1813-05-03,1813,1874,61,43041621,0.0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4314,430013935,MORTON,OLIVER,S,IN,M,R,,voting,18740127,1823-08-04,1823,1874,51,43043141,0.0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.8,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4520,430014283,THURMAN,ALLEN,S,OH,M,D,,voting,18740128,1813-11-13,1813,1874,61,43045201,9.169333589123456e-13,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4711,430015189,CONKLING,ROSCOE,S,NY,M,R,,voting,18740130,1829-10-30,1829,1874,45,43047111,0.0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4205,430015208,WEST,JOSEPH,S,LA,M,R,,voting,18740130,1822-09-19,1822,1874,52,43042051,3.538163966766986e-08,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0.0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4342,430015920,SARGENT,AARON,S,CA,M,R,,voting,18740202,1827-09-28,1827,1874,47,43043421,0.0,1,16,1,0,0,0,1,1,0,0,0,0,0,0,0.05,0.8,0.05,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,20
4342,430015924,SARGENT,AARON,S,CA,M,R,,voting,18740202,1827-09-28,1827,1874,47,43043421,0.0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
