speakerid,speech_id,lastname,firstname,chamber,state,gender,party,district,nonvoting,date,DOB,yob,year,age,speakerXsessionid,procedural_prob,cluster_7,cluster_0,cluster_1,cluster_8,cluster_3,cluster_11,cluster_5,cluster_4,cluster_10,cluster_6,cluster_12,cluster_9,cluster_2,cluster_13,cluster_7_p,cluster_0_p,cluster_1_p,cluster_8_p,cluster_3_p,cluster_11_p,cluster_5_p,cluster_4_p,cluster_10_p,cluster_6_p,cluster_12_p,cluster_9_p,cluster_2_p,cluster_13_p,n
5434,430010173,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740114,1814-04-12,1814,1874,60,43054340,0.0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4310,430017954,MERRIAM,CLINTON,H,NY,M,R,21.0,voting,18740205,1824-03-25,1824,1874,50,43043100,0.0,0,13,4,0,1,0,0,2,0,0,0,0,0,0,0.0,0.65,0.2,0.0,0.05,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,20
4575,430018720,CRITTENDEN,THOMAS,H,MO,M,D,7.0,voting,18740207,1832-01-01,1832,1874,42,43045750,0.0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4309,430026336,MELLISH,DAVID,H,NY,M,R,9.0,voting,18740228,1831-01-02,1831,1874,43,43043090,0.0,1,14,1,4,6,0,0,3,1,0,0,0,0,0,0.03333333333333333,0.4666666666666667,0.03333333333333333,0.13333333333333333,0.2,0.0,0.0,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,30
5367,430028444,BECK,JAMES,H,KY,M,D,7.0,voting,18740307,1822-02-13,1822,1874,52,43053670,0.0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
5434,430028465,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740307,1814-04-12,1814,1874,60,43054340,0.0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20
4700,430034408,BRIGHT,JOHN,H,TN,M,D,4.0,voting,18740328,1817-01-20,1817,1874,57,43047000,0.0,2,0,0,0,5,0,0,2,0,0,0,0,1,0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,10
5434,430037550,KELLEY,WILLIAM,H,PA,M,R,4.0,voting,18740404,1814-04-12,1814,1874,60,43054340,0.0,3,5,1,0,0,0,1,0,0,0,0,0,0,0,0.3,0.5,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
4901,430038634,ORTH,GODLOVE,H,IN,M,R,-1.0,voting,18740407,1817-04-22,1817,1874,57,43049010,0.0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10
4901,430038644,ORTH,GODLOVE,H,IN,M,R,-1.0,voting,18740407,1817-04-22,1817,1874,57,43049010,0.0,0,4,0,0,1,0,0,4,1,0,0,0,0,0,0.0,0.4,0.0,0.0,0.1,0.0,0.0,0.4,0.1,0.0,0.0,0.0,0.0,0.0,10
