word,sense,a_estimate,ci_lower,ci_upper,ci_width,sig_non_zero,r_sq_LO,freml_LO,dev_exp_LO,r_sq_2D,freml_2D,dev_exp_2D,overall_word_freq,cluster_substitution_total,l2_distance_normalized,peak_year
awful,0,0.6123,0.6078,0.6169,0.009099999999999997,True,0.377,45354.0,0.5660000000000001,0.377,45352.0,0.5660000000000001,15572,64372,0.1197655462756632,1996
broadcast,0,0.1457,0.1423,0.1492,0.0068999999999999895,True,0.513,39022.0,0.6659999999999999,0.513,39014.0,0.6659999999999999,18732,71615,0.07402128405135502,1996
broadcast,12,0.1181,0.1138,0.1224,0.008599999999999997,True,0.454,34301.0,0.627,0.453,34363.0,0.627,18732,38782,0.12874200995092447,1949
broadcast,5,0.1888,0.1698,0.2077,0.03789999999999999,True,0.84,19274.0,0.835,0.84,19294.0,0.835,18732,11660,0.025338440483494422,1905
monitor,1,-0.0324,-0.0349,-0.0298,0.0051,True,0.546,40736.0,0.64,0.545,40778.0,0.64,17460,37133,0.04478329041115721,1953
monitor,2,0.03,0.0278,0.0321,0.004299999999999998,True,0.557,46755.0,0.6459999999999999,0.557,46791.0,0.6459999999999999,17460,110663,0.006127281644238512,2010
monitor,0,0.1067,0.1013,0.1121,0.010800000000000004,True,0.767,24633.0,0.7609999999999999,0.766,24641.0,0.7609999999999999,17460,12908,0.022572838624291117,1890
guy,3,0.3071,0.3031,0.3112,0.008099999999999996,True,0.398,26619.0,0.573,0.397,26628.0,0.573,13140,56538,0.011434699201785463,2010
guy,8,0.3645,0.3611,0.3678,0.006700000000000039,True,0.717,21479.0,0.774,0.717,21470.0,0.774,13140,16165,0.1356702754964443,1930
headed,0,0.4064,0.4038,0.4091,0.005300000000000027,True,0.345,92518.0,0.524,0.345,92538.0,0.524,26194,128975,0.09739157523191852,1962
headed,7,0.3903,0.3878,0.3929,0.005100000000000049,True,0.386,83107.0,0.552,0.386,83138.0,0.552,26194,66848,0.04311662327750645,2010
major,2,-0.0587,-0.0619,-0.0554,0.006499999999999999,True,0.162,2.8588,0.25,0.162,2.859,0.25,317838,1377322,0.00714585662924569,1984
major,3,0.0623,0.0594,0.0651,0.005700000000000004,True,0.564,1.7782,0.53,0.564,1.7784,0.53,317838,199546,0.014231347712057679,1884
plane,2,0.2173,0.2133,0.2214,0.008100000000000024,True,0.401,49377.0,0.5529999999999999,0.4,49409.0,0.5529999999999999,30232,78595,0.016897963663127052,1977
plane,3,0.1924,0.1897,0.1951,0.005399999999999988,True,0.638,51854.0,0.703,0.638,51855.0,0.703,30232,51013,0.006004955939741561,1900
tip,6,0.1643,0.1607,0.1679,0.007199999999999984,True,0.534,27483.0,0.71,0.533,27501.0,0.71,12200,24318,0.11709332326271066,2010
tip,0,0.1059,0.1007,0.1111,0.010400000000000006,True,0.68,22005.0,0.7759999999999999,0.674,22225.0,0.7759999999999999,12200,21302,0.40039357948464,1919
graft,8,0.1488,0.1438,0.1537,0.009899999999999992,True,0.482,8146.5,0.7240000000000001,0.48,8151.7,0.723,3380,14152,0.1033300353116459,1962
graft,0,0.3054,0.2972,0.3136,0.01639999999999997,True,0.776,5210.7,0.809,0.775,5213.2,0.809,3380,2977,0.12196868422828892,1874
