word,sense,a_estimate,peak_year
gay,6,0.135,1975
gay,10,1e-4,1888
gay,4,0.0967,1932
awful,0,0.5968,1995
awful,1,-0.0279,1874
broadcast,2,0.1129,1996
broadcast,0,0.1177,1950
broadcast,4,0.1456,1934
broadcast,6,0.1715,1906
monitor,15,-0.0273,1953
monitor,2,-0.0194,2010
monitor,1,-0.0159,1890
guy,4,0.3664,2010
guy,0,0.3072,1931
guy,11,0.2542,1886
headed,0,0.3646,1963
headed,3,0.4065,2010
headed,11,0.2648,1897
wanting,0,-0.0279,1873
major,3,-0.0263,1984
major,0,0.0799,1891
plane,3,0.2239,1899
tip,1,0.1887,2010
tip,2,0.0971,1919
prop,0,0.3981,1876
graft,7,-0.0279,1964
graft,0,0.287,1874
outstanding,3,-0.0295,1997
outstanding,2,-0.1849,1949
outstanding,1,-0.1425,NA
astronomical,7,-0.1983,2010
astronomical,1,-0.2759,1888
ceiling,13,-0.0413,1986
ceiling,0,0.1201,1909
ceiling,4,0.0765,1967
ceiling,2,-0.0324,1946
shift,1,0.2935,1971
thrust,2,0.0929,1978
thrust,0,-0.0779,1912
challenges,2,0.26,2010
challenges,0,-0.0304,1929
fuel,1,-0.3207,1883
articles,9,-0.0137,1893
articles,1,0.1511,2010
dial,3,-0.032,1977
dial,2,-0.4217,1895
dial,14,-0.0331,1921
recession,3,0.1455,1974
recession,2,0.0439,1875
arraignment,3,0.194,1961
arraignment,0,0.2741,1888
receiver,4,0.6401,1873
receiver,5,0.1065,2010
receiver,11,0.3021,1979
maneuvering,6,0.1986,2010
maneuvering,7,0.1067,1908
impact,0,0.0787,1934
target,14,0.0534,1920
target,3,-0.0435,1951
target,0,0.2061,2010
segregation,1,0.2738,2010
segregation,0,0.0623,1895
lunatic,3,-0.0692,1956
lunatic,1,1.5,1873
lunatic,5,-0.5,1903
rendezvous,1,0.3414,1873
rendezvous,7,0.1564,2010
rendezvous,14,0.1363,1971
pregnant,7,0.2498,1987
pregnant,1,0.9294,1873
pregnant,4,0.2634,1945
implicit,5,0.0972,1959
implicit,0,0.0986,1873
implicit,2,0.0568,1919
retarded,1,0.0841,2006
retarded,3,0.0707,1939
receivers,10,0.3643,2010
receivers,2,0.1101,1899
receivers,8,0.1726,1978
locator,0,0.0638,1942
locator,3,-0.0641,1988
locator,5,-0.0877,1971
locator,2,-0.0365,1876
locator,4,0.4432,1936
alienation,1,0.15310000000000001,1911
alienation,3,0.1501,2000
demonstrators,3,0.2612,1920
usage,2,0.3361,2010
usage,0,0.2639,1877
usage,1,0.7359,1892
appraising,1,-0.0096,1960
appraising,0,-0.35,1874
appraising,5,-0.0533,1891
security,2,-0.114,NA
cutoff,4,0.2805,1953
cutoff,3,0.1045,1983
cutoff,0,-0.0287,1874
cutoff,5,0.0621,1917
subversive,4,0.0187,1946
subversive,2,0.102,1971
subversive,0,0.0878,1911
forgiveness,4,0.1035,1990
forgiveness,1,0.2774,1886
folders,7,0.4809,2009
folders,2,0.2321,1894
workshops,7,0.0868,2010
workshops,0,0.215,1900
drives,0,0.0283,1873
drives,9,0.0762,1958
summit,6,0.1735,2010
summit,2,0.1062,1963
summit,4,-0.0279,1901
background,5,0.1964,1900
stewards,0,-0.2057,1904
stewards,14,0.2674,1874
stewards,7,-3e-4,1928
organ,5,0.1974,2010
organ,0,-0.0885,1890
organ,2,-0.2443,1917
tending,0,0.1609,1941
needle,6,0.1157,2000
needle,1,-0.0024,1939
coaches,1,0.0054,1906
particle,2,0.3368,1873
particle,1,0.1818,1990
sterling,1,0.2722,1999
sterling,9,0.1548,1918
fixation,1,0.2538,1921
fixation,2,0.0644,1946
fixation,4,0.6387,2010
fixation,11,-0.0109,1882
cap,4,0.1471,1990
cap,0,0.0658,1873
masters,2,0.1147,2010
indexed,0,0.2152,2010
indexed,3,-0.0129,1899
powerhouse,4,-0.1004,2001
powerhouse,0,0.3365,1939
powerhouse,2,0.0569,1890
powerhouse,10,-0.2599,1911
forensic,14,0.2226,2006
forensic,12,0.0608,1874
satellite,2,-0.0455,1876
satellite,7,-0.0863,1997
satellite,5,-0.0864,1949
satellite,0,-0.1715,1876
clearance,4,0.0696,1983
clearance,2,-0.0279,1944
clearance,3,-0.0337,1884
innovation,1,0.2022,1893
pleased,0,0.2822,1873
validation,9,-0.023,1990
validation,0,-0.3351,1884
match,5,-0.0288,1965
match,6,-0.0082,1900
hybrid,9,0.0315,2010
hybrid,0,-0.0049,1907
package,0,0.1583,1986
package,1,0.2981,1928
concerns,3,0.1344,2010
concerns,0,0.1384,1924
concerns,1,0.1622,NA
fabulous,0,0.422,2010
sector,5,0.0454,1874
sector,3,-0.0767,1890
sector,0,0.0645,1948
